gene,log2FoldChange,pvalue,padj
Crybg3,-0.122414638,0.005404319,0.008523129
Map7d1,0.058678453,0.005406242,0.008524599
Pde11a,0.147305724,0.005406082,0.008524599
Atp5me,-0.085119829,0.005418689,0.008543443
Arap3,0.082226232,0.005435166,0.008568638
Hook3,-0.100570744,0.00544634,0.008585466
Pak2,0.053540302,0.005452698,0.008594702
Irag2,0.193460596,0.005476159,0.008630891
Tpbg,0.156608346,0.00548708,0.008647313
Atp6v1f,-0.054545708,0.005491475,0.008653447
Pfdn1,-0.058125755,0.00550873,0.008679842
Zfp526,-0.074601066,0.005524989,0.008704665
Lins1,0.043992255,0.005527565,0.008707926
Zmiz2,-0.062066724,0.005529841,0.008710714
Dgcr8,-0.050962646,0.005538569,0.008723665
Hrh1,0.12695093,0.005546422,0.008735235
Ddx10,-0.063930211,0.005548566,0.008737811
Spag7,0.05815923,0.005555904,0.008748566
A330070K13Rik,0.176268092,0.005556505,0.008748712
Htt,-0.111593446,0.005561785,0.008756225
1700003E16Rik,-0.081534639,0.00556691,0.008763492
B930046K06Rik,0.192499508,0.005588228,0.008796247
Magi1,0.082469208,0.00559116,0.008799921
Prpf8,0.069753514,0.005591584,0.008799921
Ifit1bl2,-0.2013073,0.005600115,0.008811736
Jmjd1c,0.083583116,0.005600092,0.008811736
Ptprn,0.062798452,0.005605729,0.008819762
Mipol1,0.072432963,0.005612828,0.008830124
Kcna6,0.055682553,0.005625242,0.008848846
Impdh2,0.053804805,0.005646185,0.008880979
Ankrd10,-0.088156782,0.005650758,0.008887359
Slc45a3,0.152387455,0.005668702,0.008914766
Cenpt,0.058194997,0.005669867,0.008915785
Ptrhd1,-0.05892439,0.005728758,0.009007567
Tenm2,-0.113471332,0.005729331,0.009007644
Ddx27,0.05055275,0.005736499,0.009018091
Gm17753,-0.154754408,0.005754978,0.009046315
Akirin2,-0.04828531,0.005756383,0.009047696
Snx33,0.087121758,0.005759054,0.009051069
Zfp169,-0.091101067,0.005763901,0.00905786
4921504A21Rik,-0.111169942,0.005770835,0.009067599
Chd1l,0.080016679,0.005771152,0.009067599
Zfp91,-0.046156987,0.005783733,0.009086537
Tnik,-0.092587033,0.005817285,0.009138415
Nlgn2,-0.06144479,0.005818008,0.009138716
Cox14,-0.058456163,0.005820263,0.009141424
A530017D24Rik,-0.142200563,0.005853192,0.009192305
Itm2b,-0.050480465,0.00586198,0.009205266
Gm47071,0.238801018,0.005882058,0.009235952
Ccdc88a,0.084959672,0.005886284,0.009241746
Rora,-0.127858108,0.005904659,0.009269749
Nr1d1,0.104157594,0.00590732,0.009273081
Ppp1r2-ps2,-0.101823907,0.00591934,0.009291103
1700085D22Rik,0.067621769,0.005938022,0.009319577
Ube2d-ps,0.050791807,0.00595417,0.009344068
Hbb-bt,-0.302451482,0.005958083,0.009349357
Hsf2,-0.052573005,0.005970764,0.009368401
Pex1,-0.05639973,0.005979093,0.009380616
Vgll3,0.260585793,0.005982485,0.009385081
Dpp6,-0.048912439,0.00598527,0.009388594
Gm43848,0.096616022,0.006001483,0.009413168
Kidins220,-0.062974381,0.00600248,0.009413874
Tns3,0.071452274,0.006027603,0.009452415
Pqbp1,-0.042251498,0.006037256,0.00946669
Ica1,-0.057001496,0.006050832,0.009487114
Pde6d,-0.044500067,0.006062379,0.009504353
