gene,log2FoldChange,pvalue,padj
Wnt10a,0.372499766,3.74E-10,1.18E-09
Rap1gap2,-0.142767891,3.75E-10,1.18E-09
Tubgcp4,-0.125537465,3.78E-10,1.19E-09
Llph,-0.160158901,3.81E-10,1.20E-09
Timp3,0.265773706,3.83E-10,1.21E-09
Hspa9,-0.100453649,3.84E-10,1.21E-09
Norad,-0.159944724,3.87E-10,1.22E-09
Cdh24,-0.535059214,3.89E-10,1.22E-09
Slc5a5,0.396128455,3.92E-10,1.23E-09
Eral1,-0.109094351,3.93E-10,1.23E-09
Rnf150,-0.19992661,3.94E-10,1.24E-09
Exoc3l4,0.590178291,3.94E-10,1.24E-09
Fbxo27,-0.223259609,3.96E-10,1.24E-09
Iqcc,0.155602899,4.01E-10,1.26E-09
Col9a1,0.51029318,4.03E-10,1.26E-09
Nsf,-0.134688519,4.03E-10,1.26E-09
Sbf1,0.118212032,4.05E-10,1.27E-09
Tmem167,-0.115971658,4.07E-10,1.28E-09
Peg10,0.470522018,4.07E-10,1.28E-09
Gm31816,-0.356451542,4.07E-10,1.28E-09
Cep57,0.147353427,4.07E-10,1.28E-09
Zfp334,-0.130020248,4.12E-10,1.29E-09
Fuz,0.239156558,4.16E-10,1.30E-09
Gpr61,-0.122835819,4.21E-10,1.32E-09
Twf2,-0.136180151,4.24E-10,1.33E-09
Syt7,-0.13889336,4.25E-10,1.33E-09
Hhip,-0.269610847,4.26E-10,1.33E-09
Rgs2,0.275748909,4.27E-10,1.34E-09
Pxn,0.213789905,4.31E-10,1.35E-09
Zmynd12,0.526605438,4.31E-10,1.35E-09
Gpbp1l1,-0.127895973,4.31E-10,1.35E-09
Ube4a,-0.110732968,4.32E-10,1.35E-09
Kat14,-0.12565166,4.34E-10,1.36E-09
Dand5,-0.17747991,4.35E-10,1.36E-09
Cfap96,0.338670518,4.36E-10,1.36E-09
B4galt7,-0.12036327,4.39E-10,1.37E-09
Gm5819,-0.348392484,4.42E-10,1.38E-09
Lyrm2,0.142859069,4.47E-10,1.40E-09
Thoc6,0.169691334,4.48E-10,1.40E-09
Cox7b,-0.139756325,4.48E-10,1.40E-09
Ppp1r3g,-0.286319078,4.49E-10,1.40E-09
Lpar3,0.563337737,4.50E-10,1.41E-09
Ly6h,-0.181043874,4.59E-10,1.43E-09
Mkln1,-0.163836446,4.60E-10,1.44E-09
Fam186b,-0.307910318,4.69E-10,1.46E-09
Nup153,-0.154701031,4.70E-10,1.47E-09
Zfp322a,-0.143289324,4.71E-10,1.47E-09
Comt,0.180597394,4.73E-10,1.48E-09
Ephb6,0.19614866,4.73E-10,1.48E-09
Tlcd3a,-0.125373328,4.76E-10,1.49E-09
App,-0.109531858,4.77E-10,1.49E-09
Tiam1,0.228349038,4.79E-10,1.49E-09
A730081D07Rik,-0.196315473,4.80E-10,1.50E-09
Tmed10,0.100187525,4.82E-10,1.50E-09
Mcf2l,-0.143720942,4.83E-10,1.51E-09
Gm43517,-0.387921469,4.88E-10,1.52E-09
Nedd1,0.203443674,4.89E-10,1.52E-09
4932441J04Rik,0.222750694,4.90E-10,1.53E-09
Rab10os,-0.132690351,4.90E-10,1.53E-09
Ndufa10,-0.103918307,4.91E-10,1.53E-09
Prr5l,0.227533234,4.93E-10,1.54E-09
Dis3,0.144008296,5.03E-10,1.57E-09
Pdhx,-0.086269279,5.04E-10,1.57E-09
Ubxn4,-0.087290597,5.04E-10,1.57E-09
Shisa9,-0.197411114,5.04E-10,1.57E-09
Ccdc163,0.36613315,5.05E-10,1.57E-09
Fpgt,-0.139894826,5.07E-10,1.58E-09
Nop56,-0.111867818,5.11E-10,1.59E-09
Csnk1d,-0.085812068,5.14E-10,1.60E-09
Arhgdib,0.27118863,5.14E-10,1.60E-09
Gstm2,0.59217237,5.15E-10,1.60E-09
Efcab2,0.138946946,5.20E-10,1.61E-09
Pde2a,0.34075099,5.22E-10,1.62E-09
Ptprg,-0.193321111,5.27E-10,1.64E-09
Msrb3,0.247584379,5.29E-10,1.64E-09
Gm28271,-0.458204646,5.31E-10,1.65E-09
H2-Eb1,1.044052462,5.40E-10,1.68E-09
Nrxn3,-0.215570901,5.44E-10,1.69E-09
Rexo4,-0.166038358,5.46E-10,1.70E-09
Chst11,-0.149556635,5.47E-10,1.70E-09
C1qtnf3,0.571591505,5.50E-10,1.71E-09
Syt5,0.165766765,5.51E-10,1.71E-09
Cars2,-0.162955736,5.61E-10,1.74E-09
Cxcl5,1.038202953,5.67E-10,1.76E-09
Tcerg1l,-0.256072633,5.71E-10,1.77E-09
Gm5535,0.483664201,5.74E-10,1.78E-09
Usp36,-0.116116232,5.80E-10,1.80E-09
Noxo1,0.373272206,5.83E-10,1.81E-09
H3f3aos,0.813767777,5.90E-10,1.83E-09
Mkrn3,0.328053349,5.93E-10,1.84E-09
Kif4,0.305806617,5.93E-10,1.84E-09
Nectin4,0.243757764,6.10E-10,1.89E-09
Gpr52,0.338083212,6.20E-10,1.92E-09
Sfr1,-0.120024141,6.20E-10,1.92E-09
Numbl,-0.172983994,6.28E-10,1.94E-09
Lmo3,-0.186470324,6.28E-10,1.94E-09
Gja3,0.538321006,6.35E-10,1.96E-09
Zfp2,-0.126949628,6.39E-10,1.98E-09
Agbl4,-0.206417012,6.39E-10,1.98E-09
Bltp3a,0.165117554,6.42E-10,1.98E-09
Dzip1,-0.251003784,6.42E-10,1.98E-09
B3galt2,-0.195181295,6.46E-10,2.00E-09
Gm56489,0.405328776,6.58E-10,2.03E-09
Uchl5,-0.130563205,6.62E-10,2.04E-09
Tpd52l1,-0.163359455,6.68E-10,2.06E-09
Rfwd3,-0.099035856,6.71E-10,2.07E-09
Atp6v1d,-0.11192605,6.73E-10,2.08E-09
Rhobtb3,0.177846668,6.75E-10,2.08E-09
Vps8,-0.119189339,6.78E-10,2.09E-09
Armc5,0.156278315,6.80E-10,2.10E-09
Zfp90,0.117445587,6.86E-10,2.12E-09
Ndnf,0.217596151,6.88E-10,2.12E-09
Bcl2l13,-0.089290232,6.97E-10,2.15E-09
Prr14l,-0.23494789,6.98E-10,2.15E-09
Stxbp5,0.202458408,6.99E-10,2.16E-09
Xpc,0.108899501,7.05E-10,2.17E-09
Ano5,-0.340011968,7.06E-10,2.18E-09
Upf3b,-0.146444667,7.08E-10,2.18E-09
1500011B03Rik,-0.103826852,7.09E-10,2.18E-09
Clip2,-0.131498241,7.14E-10,2.20E-09
Ostm1,-0.092299743,7.15E-10,2.20E-09
Cuta,-0.134810207,7.17E-10,2.21E-09
Mcm4,0.142766093,7.20E-10,2.22E-09
Rnf151,-0.578740504,7.23E-10,2.23E-09
1700123M08Rik,0.272244019,7.27E-10,2.24E-09
Phtf1os,0.279531863,7.31E-10,2.25E-09
Cpox,-0.11239613,7.33E-10,2.26E-09
Cops7b,-0.114024208,7.38E-10,2.27E-09
Cldn19,0.495847843,7.38E-10,2.27E-09
Nol4,-0.126920305,7.40E-10,2.28E-09
Etv6,-0.154127734,7.41E-10,2.28E-09
Gm6563,-0.156369512,7.41E-10,2.28E-09
Tpm1,0.100341801,7.47E-10,2.30E-09
9130019O22Rik,0.202234652,7.51E-10,2.31E-09
Wdtc1,-0.149772623,7.55E-10,2.32E-09
Sgsm1,-0.168453504,7.81E-10,2.40E-09
2810021J22Rik,-0.173216709,7.88E-10,2.42E-09
2310043P16Rik,0.4361621,7.90E-10,2.43E-09
Cmas,-0.102118561,7.91E-10,2.43E-09
Clec3b,0.651452874,7.96E-10,2.45E-09
3300002P13Rik,-0.316452991,8.00E-10,2.46E-09
Gm38414,0.475660923,8.04E-10,2.47E-09
Tm2d3,-0.137740066,8.05E-10,2.47E-09
Tmem11,-0.138463223,8.06E-10,2.47E-09
Nprl3,0.13302808,8.08E-10,2.48E-09
Slc41a2,0.143154008,8.10E-10,2.48E-09
Slc35f1,-0.172604479,8.15E-10,2.50E-09
Astn2,-0.169087458,8.29E-10,2.54E-09
Mreg,-0.201968667,8.29E-10,2.54E-09
Ywhaq-ps3,-0.16819933,8.33E-10,2.55E-09
Polb,-0.128472058,8.40E-10,2.57E-09
Serinc1,-0.130795105,8.48E-10,2.60E-09
D030047H15Rik,0.532888449,8.50E-10,2.60E-09
Adgrl2,-0.213922986,8.56E-10,2.62E-09
Ttbk2,-0.206475852,8.56E-10,2.62E-09
Ace2,0.227287303,8.62E-10,2.64E-09
Csf2ra,0.338161342,8.64E-10,2.65E-09
Ecsit,-0.115423289,8.71E-10,2.67E-09
Adam17,0.157138113,8.73E-10,2.67E-09
Gpd2,-0.10158916,8.85E-10,2.71E-09
Cdc34,-0.168576238,9.04E-10,2.77E-09
Gid4,-0.148299706,9.06E-10,2.77E-09
Dot1l,0.245496934,9.14E-10,2.79E-09
Cptp,-0.104235196,9.17E-10,2.80E-09
Gm29508,0.46141888,9.18E-10,2.81E-09
Cdk8,-0.0971635,9.21E-10,2.82E-09
