gene,log2FoldChange,pvalue,padj
Rprm,1.466370928,3.78E-224,6.50E-220
Slc6a1,-0.488461737,1.07E-197,9.20E-194
Tmc6,1.729313868,2.53E-187,1.45E-183
Adamts18,1.668861511,1.53E-186,6.59E-183
Drd1,1.63307461,3.77E-172,1.30E-168
Acvr1c,1.280126385,1.77E-166,5.08E-163
Spry4,-0.985668974,1.06E-164,2.61E-161
Dlx6os1,-0.94639382,1.41E-157,3.04E-154
Plekha2,1.295028839,1.34E-153,2.56E-150
C1ql2,1.554607566,4.01E-152,6.89E-149
Col4a6,2.033453861,2.93E-144,4.58E-141
Gm30551,3.385446753,2.10E-142,3.02E-139
5830408C22Rik,2.061618956,2.25E-138,2.98E-135
C4b,2.583009552,3.35E-135,4.12E-132
Rtl3,-2.144008201,8.51E-131,9.76E-128
S100a6,1.794487357,1.37E-129,1.48E-126
Draxin,1.321369307,3.39E-129,3.43E-126
Penk,1.617609067,2.28E-126,2.18E-123
Camk1g,-0.636846471,1.82E-124,1.65E-121
Gldn,2.126100571,5.00E-122,4.30E-119
Lnp1,1.913766241,4.48E-120,3.67E-117
Gm34567,1.150247768,1.05E-119,8.14E-117
Flnc,2.139594308,1.09E-119,8.14E-117
Mmp19,1.787816525,1.46E-119,1.05E-116
Ssc5d,1.978289596,2.96E-119,2.04E-116
Bgn,1.747957329,1.81E-117,1.20E-114
Gm28578,1.172312555,3.54E-117,2.26E-114
Gfap,1.799130283,3.90E-117,2.40E-114
Capg,1.952465745,1.55E-116,9.20E-114
Htr5b,-1.329088908,1.12E-114,6.41E-112
Rasd1,-1.345829894,7.06E-113,3.92E-110
Adgrf4,2.503356361,1.42E-112,7.65E-110
Pip5k1b,-0.740153715,5.92E-112,3.09E-109
Ppl,1.421998896,5.13E-111,2.60E-108
Mfap4,1.703796128,1.23E-110,6.05E-108
C2cd4c,0.913874187,5.11E-108,2.44E-105
Vim,1.894765226,6.83E-108,3.18E-105
Nanos1,-0.410054409,1.26E-105,5.71E-103
Col6a1,1.55799006,5.00E-105,2.21E-102
Camkk2,-0.733803763,5.47E-105,2.36E-102
Stk26,-0.720882679,1.24E-104,5.21E-102
Etv5,-0.589415148,6.99E-103,2.86E-100
A2m,1.873762831,2.08E-102,8.32E-100
Abhd6,-0.36381897,2.72E-102,1.07E-99
Igfbpl1,1.744184511,4.73E-101,1.81E-98
Sbk1,-0.674082058,1.40E-100,5.23E-98
Ecm1,1.287575622,1.24E-99,4.54E-97
Slc2a10,0.965048645,2.32E-99,8.33E-97
Ngf,-0.793078553,2.88E-99,1.01E-96
Bpnt1,-0.307863393,2.27E-98,7.81E-96
Dnajb1,-0.853010342,4.65E-98,1.57E-95
Dusp6,-0.943644811,1.21E-97,3.99E-95
Hcar2,3.090238019,1.79E-97,5.82E-95
Ggta1,1.603261405,1.85E-97,5.90E-95
Col4a5,1.279365509,7.24E-97,2.27E-94
Gnb5,-0.363729883,9.59E-97,2.95E-94
Cav1,0.871080522,3.04E-96,9.18E-94
Msn,0.902057,3.19E-95,9.47E-93
Cxcr4,0.962634154,4.87E-94,1.42E-91
Slc22a4,1.065220788,5.69E-94,1.63E-91
Ccn4,2.190303473,8.49E-94,2.40E-91
Gm42864,1.342540354,2.24E-92,6.21E-90
Ubfd1,-0.328292702,1.39E-91,3.80E-89
Car5b,0.81734379,4.47E-91,1.20E-88
B430319G15Rik,1.241964251,5.84E-91,1.55E-88
Kcnip1,-0.48427947,1.52E-90,3.96E-88
Bmp3,1.654889045,3.63E-90,9.32E-88
Col12a1,1.291184251,3.81E-90,9.65E-88
Slc14a1,0.995466494,4.56E-90,1.14E-87
Slc6a5,4.359783077,1.86E-89,4.58E-87
Rhoj,0.824491884,4.03E-89,9.77E-87
Mei1,2.798273539,1.11E-88,2.66E-86
Col1a1,2.090100546,3.88E-88,9.16E-86
Wnt7a,-0.628670789,6.59E-87,1.53E-84
Epop,-1.224705004,9.81E-87,2.25E-84
Arhgap36,1.931132467,3.56E-86,8.06E-84
Il13ra1,0.933037604,1.30E-85,2.91E-83
Cd44,1.875089293,2.16E-85,4.77E-83
P4ha3,1.234774425,3.94E-85,8.59E-83
Gal,2.537189358,1.23E-84,2.65E-82
Adamtsl3,1.517499189,1.54E-84,3.28E-82
Anxa2,1.165947764,2.13E-84,4.46E-82
Lrrc55,0.756677092,3.82E-84,7.92E-82
Lhx6,-0.534641107,5.85E-84,1.20E-81
Osmr,1.449340122,2.34E-83,4.75E-81
Htra4,1.473899911,1.71E-82,3.42E-80
Kcne5,1.576516269,2.97E-82,5.87E-80
Timp1,3.234373795,3.02E-82,5.90E-80
Ltbp1,0.681610794,4.29E-82,8.29E-80
Col3a1,2.551782347,6.62E-82,1.27E-79
Rasd2,-0.665490881,8.92E-82,1.69E-79
Tnfrsf11b,1.393555617,1.47E-81,2.75E-79
Chst15,0.595277785,2.86E-81,5.30E-79
Adgrg6,1.231607926,3.70E-81,6.78E-79
Glce,0.602343179,4.43E-81,8.03E-79
Rasl10a,0.648126302,6.34E-81,1.14E-78
Spint1,1.24904097,2.67E-80,4.74E-78
Pcsk5,0.784580386,4.54E-80,7.98E-78
Dlx5,-0.786493826,5.59E-80,9.71E-78
Ip6k3,1.688939197,7.03E-80,1.21E-77
Aspg,1.709707697,1.01E-79,1.71E-77
Bcl6,-0.50917017,1.32E-79,2.23E-77
Gm15663,-0.523722054,1.02E-78,1.70E-76
Itgax,4.437375866,2.11E-78,3.49E-76
Agmat,2.82074107,3.59E-78,5.89E-76
Mfap2,1.137497512,4.26E-78,6.91E-76
Fgf9,-0.443371803,6.23E-78,1.00E-75
Gm42829,-0.554257887,8.85E-78,1.41E-75
Tgfbr2,0.848102246,1.64E-77,2.59E-75
Gramd1c,0.767590172,2.42E-77,3.79E-75
Spcs3,-0.401816208,2.75E-77,4.26E-75
6330420H09Rik,-1.583302362,5.26E-77,8.08E-75
Tsc22d3,-0.885381754,6.89E-77,1.05E-74
Igfbp6,1.073083817,3.20E-76,4.83E-74
Plat,0.521630339,3.37E-76,5.05E-74
Clec7a,3.865118233,1.14E-75,1.69E-73
Slc7a4,0.486472593,1.72E-75,2.53E-73
Serpinf2,3.061893354,2.74E-75,4.00E-73
Rbm24,-0.608751787,2.78E-75,4.02E-73
Gfpt2,1.06482776,3.06E-75,4.40E-73
Pnma2,-0.511030664,3.66E-75,5.20E-73
Anxa5,0.826493111,4.06E-75,5.73E-73
Ccsap,0.464069004,6.33E-75,8.86E-73
AU020206,1.591523897,6.69E-75,9.29E-73
Gpnmb,2.410612314,1.02E-74,1.41E-72
Pdgfrb,0.566226889,2.18E-74,2.98E-72
Ccdc3,1.126899809,4.67E-74,6.33E-72
Akr1b8,2.016200849,6.19E-74,8.32E-72
Sctr,1.279842377,6.56E-74,8.75E-72
Anxa4,1.124634389,8.12E-74,1.08E-71
Serping1,1.533510122,9.04E-74,1.19E-71
Pros1,0.800057803,1.14E-73,1.49E-71
C3ar1,2.013251475,1.66E-73,2.15E-71
Mtrr,-0.430709379,2.68E-73,3.45E-71
Aldh1l2,1.191989293,3.74E-73,4.76E-71
Iglon5,0.460914343,5.18E-73,6.56E-71
Gpam,0.510478325,7.96E-73,1.00E-70
Hacd4,0.993450981,8.62E-73,1.08E-70
2810459M11Rik,0.695646191,8.97E-73,1.11E-70
Lamp5,-0.820965572,1.23E-72,1.52E-70
1700014D04Rik,1.416558512,1.26E-72,1.54E-70
Bhlhe41,0.795096995,1.30E-72,1.58E-70
Col16a1,1.207230295,5.83E-72,7.02E-70
Plekha3,-0.313985317,1.11E-71,1.33E-69
Arsj,0.814621005,2.49E-71,2.95E-69
Dnah1,0.775029485,2.67E-71,3.15E-69
Nalf2,-0.476595888,3.25E-71,3.81E-69
Rgs6,0.57240709,3.60E-71,4.19E-69
Cdhr2,1.392229516,4.39E-71,5.07E-69
Ahnak2,1.692766,6.79E-71,7.80E-69
Pdlim4,1.054704094,1.07E-70,1.22E-68
Itpripl2,0.662782568,1.64E-70,1.85E-68
Id3,0.77394403,1.79E-70,2.02E-68
E2f6,-0.280465054,2.98E-70,3.33E-68
Gm38562,1.017670548,3.09E-70,3.43E-68
Spred3,-0.428115991,3.48E-70,3.84E-68
B4galt1,0.759509155,5.31E-70,5.82E-68
Fbxo7,0.423125493,5.74E-70,6.25E-68
Fcgr2b,1.575504848,6.85E-70,7.41E-68
Rgs20,0.443054601,7.68E-70,8.26E-68
Ptx3,2.130481662,9.69E-70,1.04E-67
Bean1,-0.731205215,1.25E-69,1.33E-67
Mocos,0.939447964,2.51E-69,2.65E-67
Txnrd3,0.674551623,2.73E-69,2.86E-67
Thbs2,1.120700556,2.98E-69,3.11E-67
Lpcat3,0.387283715,3.96E-69,4.11E-67
Serpinf1,1.057001597,4.37E-69,4.51E-67
Parp3,1.00551686,5.08E-69,5.21E-67
Eif4e3,-0.41588371,6.42E-69,6.53E-67
Gadd45a,0.705282693,7.34E-69,7.43E-67
Gm42865,1.795458807,1.91E-68,1.93E-66
Sema3a,1.101834982,2.19E-68,2.19E-66
Cck,-0.591243596,3.14E-68,3.12E-66
Lgals1,1.029669155,7.18E-68,7.10E-66
Lsp1,1.205161086,1.13E-67,1.11E-65
4931406C07Rik,0.367526671,1.52E-67,1.49E-65
A730036I17Rik,1.146232624,1.83E-67,1.78E-65
Dap,0.562578982,2.34E-67,2.26E-65
Moxd1,-0.629042128,3.27E-67,3.15E-65
Nnmt,1.164699288,3.29E-67,3.15E-65
Lingo2,0.615164568,4.75E-67,4.52E-65
Plekhg5,0.437798377,9.66E-67,9.14E-65
S1pr3,1.607056179,2.25E-66,2.11E-64
Col5a2,1.282383898,3.73E-66,3.49E-64
Jade2,-0.514531,4.21E-66,3.92E-64
Ifi202b,2.664761858,5.37E-66,4.97E-64
Lox,2.319518173,7.49E-66,6.89E-64
S100a11,1.255022164,1.34E-65,1.23E-63
Tgif1,1.197094573,1.63E-65,1.49E-63
Pja1,-0.227235469,1.72E-65,1.55E-63
Col1a2,1.748259747,1.91E-65,1.72E-63
Cybrd1,1.007350591,2.54E-65,2.28E-63
Entpd2,0.785932182,2.87E-65,2.56E-63
Vstm4,1.080061689,3.58E-65,3.18E-63
Las1l,-0.269112991,4.83E-65,4.27E-63
Egr1,-1.60720732,5.57E-65,4.89E-63
Egflam,0.699554873,7.69E-65,6.72E-63
Nr4a2,-0.916558053,7.99E-65,6.95E-63
Mpped1,-0.419262002,1.19E-64,1.03E-62
Slc44a2,0.355229843,1.85E-64,1.60E-62
Rab8b,-0.396479665,2.23E-64,1.91E-62
P2ry2,1.107693982,2.30E-64,1.96E-62
Rab32,0.829289295,3.55E-64,3.01E-62
Gm20743,0.958198202,4.83E-64,4.08E-62
Cryzl2,0.811870814,6.57E-64,5.52E-62
Best3,1.362093548,1.57E-63,1.31E-61
Arhgef3,-0.377115158,1.64E-63,1.36E-61
Plod2,0.639501164,1.97E-63,1.63E-61
5930430L01Rik,0.655442936,2.36E-63,1.94E-61
Cela1,1.258343419,2.63E-63,2.15E-61
Cdk18,0.969506369,3.46E-63,2.82E-61
Rida,0.691865588,4.01E-63,3.26E-61
Egr4,-1.624794213,4.47E-63,3.61E-61
Fxyd7,-0.720126565,5.01E-63,4.03E-61
Elk3,0.543106422,5.27E-63,4.22E-61
Lamb2,0.701102781,7.86E-63,6.26E-61
Nrep,0.654137057,9.44E-63,7.49E-61
Gfod1,-0.488505895,1.19E-62,9.40E-61
Fibcd1,-0.769618335,1.26E-62,9.92E-61
Bmf,0.813236421,1.75E-62,1.37E-60
Ccdc80,0.998217306,2.17E-62,1.69E-60
Lyz2,2.490399223,2.53E-62,1.96E-60
B3gat1,-0.493826836,3.43E-62,2.65E-60
Il1r2,1.597368762,3.84E-62,2.95E-60
Atp13a5,0.560366811,4.77E-62,3.65E-60
Tram1l1,-0.250229473,4.93E-62,3.75E-60
Sowaha,-0.476394151,5.10E-62,3.87E-60
Dlx1as,-0.827768205,5.92E-62,4.47E-60
Angpt2,1.564833152,6.33E-62,4.76E-60
Htr1b,-0.795168125,6.98E-62,5.23E-60
Kcnip3,0.636286022,7.67E-62,5.71E-60
Unc93b1,0.87194018,1.00E-61,7.45E-60
Cd1d1,1.553729069,1.11E-61,8.22E-60
Arhgap29,0.698802002,1.12E-61,8.25E-60
Tnc,1.131539083,1.15E-61,8.43E-60
Dusp1,-1.03169268,1.17E-61,8.53E-60
Clec18a,1.114070685,2.07E-61,1.50E-59
Sec14l1,-0.251733527,2.30E-61,1.67E-59
Cyp4v3,0.505825607,2.54E-61,1.83E-59
Kansl3,-0.331549889,2.62E-61,1.88E-59
Dgat2l6,2.154691882,3.27E-61,2.33E-59
Clic1,0.779615008,5.87E-61,4.17E-59
P2rx6,0.504860333,5.88E-61,4.17E-59
Frzb,-0.881026736,6.38E-61,4.50E-59
Plekha4,1.413488915,7.84E-61,5.51E-59
Nr4a1,-1.64649008,8.86E-61,6.20E-59
Trim25,0.571369824,1.31E-60,9.14E-59
Per1,-0.657370714,1.43E-60,9.93E-59
Col5a3,1.118335888,1.67E-60,1.15E-58
Nxph1,-0.357570622,1.70E-60,1.17E-58
Homer2,-0.680141461,2.29E-60,1.57E-58
Aebp1,1.779190096,2.50E-60,1.71E-58
Spring1,-0.32521781,2.65E-60,1.80E-58
Klhl8,-0.238503425,3.46E-60,2.35E-58
Igsf10,1.037579711,4.86E-60,3.28E-58
Cort,-1.447383274,6.38E-60,4.29E-58
Osbpl1a,-0.296413754,6.73E-60,4.50E-58
Cass4,1.570793363,7.04E-60,4.69E-58
Pawr,0.794708967,7.15E-60,4.75E-58
Tnfrsf1a,0.881383546,7.77E-60,5.14E-58
Mxra8,1.036478456,8.24E-60,5.44E-58
Cplx1,-0.343601665,1.02E-59,6.72E-58
Adamts12,1.742595179,1.10E-59,7.19E-58
Ptpn1,-0.333185511,1.25E-59,8.16E-58
Notch2,0.691674918,1.27E-59,8.22E-58
Rims4,-0.477492316,1.28E-59,8.27E-58
Cd151,0.626561986,1.65E-59,1.07E-57
Adgre1,1.069312201,1.71E-59,1.10E-57
Zc3hav1,0.680511976,1.97E-59,1.26E-57
Ubl3,-0.22246727,2.15E-59,1.37E-57
Syt4,-0.456714539,4.20E-59,2.67E-57
Heyl,0.754165627,5.52E-59,3.49E-57
Slc22a21,0.928105225,6.00E-59,3.79E-57
Chrm4,-0.556832461,6.12E-59,3.84E-57
Acvr1,0.50384239,6.86E-59,4.28E-57
Clstn3,-0.348292208,6.86E-59,4.28E-57
Casp3,0.422843873,9.72E-59,6.04E-57
Sfrp4,0.867520096,1.42E-58,8.79E-57
Galnt15,1.35892793,1.69E-58,1.05E-56
Cilp2,0.816465249,1.76E-58,1.08E-56
Prkar2a,-0.348776786,1.84E-58,1.13E-56
Lhfpl6,0.884735075,2.93E-58,1.79E-56
Col6a2,1.222466489,3.27E-58,1.99E-56
Ip6k2,-0.277884852,3.81E-58,2.31E-56
Ttc12,0.830287818,3.89E-58,2.35E-56
Blnk,1.073051301,4.06E-58,2.44E-56
Ing1,-0.319648141,4.77E-58,2.86E-56
Gm30092,1.484617154,5.50E-58,3.29E-56
Scn3b,-0.627296331,5.87E-58,3.50E-56
Bcl2l2,-0.286617137,6.07E-58,3.60E-56
Pigg,-0.333837784,6.92E-58,4.09E-56
Tsc22d1,-0.209416986,9.43E-58,5.56E-56
Luzp2,-0.428744263,1.21E-57,7.08E-56
Fgf10,-0.658412169,1.29E-57,7.57E-56
Asic4,-0.607388943,1.30E-57,7.61E-56
Emilin1,1.219273622,1.32E-57,7.67E-56
Lag3,1.756230276,1.85E-57,1.07E-55
Gm29695,1.205781125,1.87E-57,1.08E-55
Ndufb2,-0.319974562,2.06E-57,1.19E-55
Rap2a,-0.24197828,2.34E-57,1.34E-55
Cd68,1.500036198,2.49E-57,1.42E-55
Fblim1,1.341386453,2.91E-57,1.66E-55
Mylk,0.514743355,3.13E-57,1.78E-55
Gbp2,1.05944403,4.02E-57,2.28E-55
Ecel1,1.911507589,4.68E-57,2.64E-55
St8sia2,0.878642134,5.02E-57,2.83E-55
Khdc4,-0.397935201,5.09E-57,2.85E-55
Uap1,-0.255499792,5.48E-57,3.06E-55
Hk2,0.782866869,5.55E-57,3.09E-55
Palld,0.535928695,7.38E-57,4.10E-55
Cavin1,0.83681682,7.90E-57,4.37E-55
Fzd6,0.55432812,9.08E-57,5.01E-55
G6pdx,0.32197324,1.01E-56,5.55E-55
Efemp1,1.047519251,1.27E-56,6.98E-55
2900052N01Rik,-0.694750559,1.38E-56,7.54E-55
Lgals8,0.306661945,1.66E-56,9.02E-55
Gadl1,1.382270203,2.03E-56,1.10E-54
Col4a1,0.56285572,2.09E-56,1.13E-54
Arfgap3,0.325315559,2.68E-56,1.45E-54
Sox9,0.602804279,3.23E-56,1.74E-54
Mthfd1l,-0.562071596,3.62E-56,1.94E-54
Fam131b,-0.281439038,4.84E-56,2.59E-54
Nid1,0.961152704,7.32E-56,3.90E-54
Slc43a3,2.110732661,8.67E-56,4.61E-54
Smoc1,0.712836236,8.99E-56,4.76E-54
Cd180,1.434844347,1.00E-55,5.29E-54
Atg4b,-0.179543855,1.02E-55,5.36E-54
Armcx1,-0.28824239,1.03E-55,5.42E-54
Alkal2,-1.030965064,1.18E-55,6.20E-54
Nkiras1,-0.250926794,1.58E-55,8.27E-54
Lactb2,0.455939694,2.00E-55,1.04E-53
Cyp2j6,0.386844815,2.01E-55,1.04E-53
Akna,0.664113016,2.27E-55,1.17E-53
Rflnb,0.790892135,2.59E-55,1.33E-53
Txlnb,1.187304271,2.86E-55,1.47E-53
Dlc1,-0.461133441,2.99E-55,1.53E-53
Mfap3l,0.392574594,4.86E-55,2.48E-53
Smyd4,0.400444831,5.15E-55,2.62E-53
Ndc1,0.27634099,5.39E-55,2.74E-53
Rdh13,-0.301249951,5.44E-55,2.75E-53
Fzd8,0.591063895,5.62E-55,2.84E-53
Steap3,0.775689654,7.21E-55,3.63E-53
L2hgdh,-0.256979433,7.83E-55,3.93E-53
Micall2,0.835940433,8.73E-55,4.37E-53
Cd84,1.742198084,9.66E-55,4.82E-53
Grp,1.261985159,1.11E-54,5.53E-53
Nfatc4,1.022028278,1.22E-54,6.05E-53
5330413P13Rik,0.806330392,1.40E-54,6.91E-53
Lgi4,0.623093811,1.42E-54,7.01E-53
Ptprc,1.163023659,1.52E-54,7.45E-53
Phactr1,-0.28242068,1.61E-54,7.88E-53
Tmem86a,0.639110313,1.64E-54,8.03E-53
Gucy1b1,-0.271994109,1.65E-54,8.03E-53
Gm13293,0.993415071,1.97E-54,9.56E-53
Klk6,2.414236968,2.04E-54,9.88E-53
Slc11a1,1.543619229,2.31E-54,1.12E-52
Camk2n1,-0.421497535,2.55E-54,1.23E-52
St14,1.818184699,2.71E-54,1.30E-52
Spidr,0.388758758,3.06E-54,1.47E-52
Itga2,1.453460302,3.07E-54,1.47E-52
Sox11,0.775553961,3.46E-54,1.65E-52
Kif18a,0.942714501,4.10E-54,1.95E-52
Cfh,1.056172226,4.73E-54,2.24E-52
Syngr3,-0.277070818,4.92E-54,2.33E-52
Pgr15l,1.875910111,5.60E-54,2.64E-52
Nek9,0.231224044,7.47E-54,3.51E-52
Cpne8,-0.537457222,7.79E-54,3.65E-52
Fkbp10,0.710565566,8.00E-54,3.74E-52
Acp7,0.846479407,8.97E-54,4.18E-52
Slc29a1,0.401920513,9.64E-54,4.49E-52
Rgs12,-0.312192069,9.96E-54,4.62E-52
Lrrn3,-0.37466504,1.00E-53,4.63E-52
Uhrf2,-0.321943695,1.04E-53,4.81E-52
Reps1,-0.264142791,1.08E-53,4.95E-52
Cat,0.439696991,1.08E-53,4.95E-52
Serpina3f,0.964950491,1.32E-53,6.06E-52
Fam114a1,0.648265655,1.48E-53,6.75E-52
Dcx,0.678928307,1.59E-53,7.24E-52
Erbb2,0.685457278,1.91E-53,8.69E-52
Pdgfrl,0.892680863,2.56E-53,1.16E-51
Sox1ot,-0.500018848,2.80E-53,1.26E-51
Slc44a5,-0.635860986,2.80E-53,1.26E-51
Itga5,0.908853243,3.33E-53,1.50E-51
Rnh1,0.431054106,3.53E-53,1.58E-51
Gm12056,1.555003647,4.25E-53,1.90E-51
Fbxo17,0.71891923,4.44E-53,1.98E-51
Clec14a,0.937696695,5.17E-53,2.30E-51
Cavin3,0.492497632,5.81E-53,2.58E-51
Niban2,0.715219738,6.42E-53,2.84E-51
Naprt,0.740699404,6.85E-53,3.02E-51
Slamf9,1.466841521,7.14E-53,3.15E-51
Aldh1a3,2.002453797,7.60E-53,3.34E-51
Fgfr1op2,-0.375364587,9.85E-53,4.32E-51
Emp3,1.374492313,1.06E-52,4.65E-51
Entpd6,-0.275670675,1.54E-52,6.72E-51
Piga,-0.485452539,1.75E-52,7.61E-51
Flt3,-0.597603832,2.02E-52,8.75E-51
Eepd1,-0.340724351,2.29E-52,9.92E-51
Mn1,-0.484398483,2.33E-52,1.00E-50
Dbh,1.592399456,2.41E-52,1.04E-50
Nr4a3,-1.051666977,2.58E-52,1.11E-50
Ppp1r3d,-0.393512419,3.30E-52,1.41E-50
Mical1,0.560950858,3.55E-52,1.52E-50
Pard6g,0.61208271,3.74E-52,1.60E-50
Gm44763,0.761590074,4.16E-52,1.77E-50
Slc25a24,0.637962873,6.25E-52,2.65E-50
Hspb6,1.246641414,6.41E-52,2.71E-50
Kcnk4,-0.882861753,6.77E-52,2.86E-50
Ark2n,-0.351827045,7.85E-52,3.31E-50
P4ha2,-0.555695311,1.24E-51,5.22E-50
Stambpl1,-0.302295553,1.58E-51,6.60E-50
Irs2,-0.486238761,1.59E-51,6.64E-50
Lurap1l,-0.650764388,1.68E-51,6.98E-50
Cd33,0.783986848,2.04E-51,8.46E-50
Arc,-1.771659322,2.17E-51,9.01E-50
Kcnf1,-0.588869899,2.19E-51,9.06E-50
Ddr1,0.580835007,2.30E-51,9.51E-50
Serpini1,-0.374080212,2.43E-51,1.00E-49
Arx,-0.458701815,2.88E-51,1.18E-49
Gm9776,0.542306149,3.35E-51,1.37E-49
Gm41442,0.821368609,3.49E-51,1.43E-49
Ccdc184,-0.467724514,3.63E-51,1.48E-49
Pptc7,-0.281603689,3.96E-51,1.61E-49
Kank2,0.634749118,5.17E-51,2.10E-49
Apobec1,1.189503214,5.18E-51,2.10E-49
Anks1b,-0.246105465,5.22E-51,2.11E-49
Erbin,0.514708834,5.43E-51,2.19E-49
Crispld2,1.469456388,5.61E-51,2.26E-49
Cd52,1.715993098,5.80E-51,2.33E-49
Serpina3n,0.835802852,7.36E-51,2.94E-49
Dach2,0.724230383,7.56E-51,3.02E-49
Siah2,-0.403222234,7.73E-51,3.08E-49
Cd300c2,1.17650938,7.80E-51,3.10E-49
Rundc1,-0.310979595,8.69E-51,3.45E-49
Cxcl16,1.335171502,9.69E-51,3.83E-49
Plcl2,-0.293784464,9.79E-51,3.87E-49
Pnkd,-0.325249544,1.02E-50,4.01E-49
Mpeg1,1.702226472,1.05E-50,4.13E-49
Thap12,-0.230730684,1.13E-50,4.44E-49
Bend6,-0.26643137,1.29E-50,5.04E-49
Mboat1,0.89300055,1.58E-50,6.18E-49
Wee1,-0.388261836,1.59E-50,6.19E-49
Efcab7,0.619848027,1.68E-50,6.54E-49
Cd9,0.715167764,1.93E-50,7.50E-49
Aqp4,0.730110257,2.19E-50,8.49E-49
P4ha1,-0.55956664,2.28E-50,8.81E-49
Syn3,0.784587443,2.91E-50,1.12E-48
Ppp1r13b,-0.329294117,3.06E-50,1.17E-48
Notch3,0.537156096,3.26E-50,1.25E-48
Clu,0.471141652,3.31E-50,1.27E-48
Cdh7,0.740053696,3.49E-50,1.33E-48
Atcay,-0.215109062,3.64E-50,1.38E-48
Bicdl1,-0.428320098,3.68E-50,1.40E-48
Cd276,0.447110148,3.84E-50,1.46E-48
Cyb5r3,0.431152954,4.37E-50,1.65E-48
Pip4p2,-0.248460483,5.33E-50,2.01E-48
Fmnl3,0.473222344,5.70E-50,2.15E-48
Cacna1i,-0.656715781,5.73E-50,2.15E-48
Fadd,0.567072174,6.22E-50,2.33E-48
B3galt5,-0.469970874,6.28E-50,2.35E-48
Hmcn2,1.403250773,6.48E-50,2.42E-48
Opa3,-0.248629052,6.50E-50,2.42E-48
Alox12b,-1.135693875,6.60E-50,2.46E-48
Dusp5,-0.831642961,7.65E-50,2.84E-48
Ednra,0.484612472,7.80E-50,2.89E-48
Fhl4,0.704278712,8.56E-50,3.16E-48
Serpina3g,1.911472961,9.95E-50,3.67E-48
Arhgef15,0.630857551,1.14E-49,4.18E-48
Bach1,0.380865589,1.20E-49,4.39E-48
Rabgef1,-0.200393767,1.21E-49,4.45E-48
Rph3a,-0.29953534,1.56E-49,5.71E-48
Ppa1,-0.216661102,1.62E-49,5.92E-48
Herpud1,-0.527500252,2.01E-49,7.32E-48
Gm31115,1.825051843,2.25E-49,8.15E-48
Amd1,-0.23141697,2.37E-49,8.59E-48
Elovl4,-0.32107841,2.57E-49,9.29E-48
Sncaip,0.544861942,3.11E-49,1.12E-47
Abca1,0.802310488,3.19E-49,1.15E-47
Mpp2,-0.340529162,3.27E-49,1.17E-47
Ina,-0.324612558,3.40E-49,1.22E-47
Egfem1,-0.606252235,3.54E-49,1.27E-47
Serpina3i,1.668914378,4.10E-49,1.46E-47
Ss18,0.358204146,4.55E-49,1.62E-47
Rhbdd1,0.382098849,4.58E-49,1.63E-47
Limch1,0.30802031,4.94E-49,1.75E-47
Chst7,0.709976735,5.17E-49,1.83E-47
Elfn2,-0.438664784,7.05E-49,2.49E-47
Stk32b,-0.668240403,7.21E-49,2.54E-47
Ttc28,0.589205253,8.25E-49,2.90E-47
Prrx2,1.384185852,8.95E-49,3.14E-47
Fitm2,-0.246992169,9.55E-49,3.35E-47
Serpina3h,1.626532839,1.00E-48,3.50E-47
Maml3,0.557856739,1.26E-48,4.40E-47
Dlx6,-0.724023383,1.31E-48,4.55E-47
Lama4,0.80149873,1.40E-48,4.87E-47
Casp12,1.402790184,1.46E-48,5.07E-47
Ric8b,-0.241111534,2.26E-48,7.83E-47
C4a,1.875527804,2.63E-48,9.09E-47
Rab35,-0.180322629,2.66E-48,9.17E-47
Plau,1.067124685,2.69E-48,9.25E-47
Pgghg,0.562644986,3.01E-48,1.04E-46
Ube2q1,-0.166754334,3.35E-48,1.15E-46
Slc2a4,1.441912103,4.28E-48,1.47E-46
Vps37b,0.594333292,4.33E-48,1.48E-46
Tfcp2l1,0.914034047,5.54E-48,1.89E-46
Peg13,-0.275848946,5.57E-48,1.90E-46
Mapk12,1.049188233,6.04E-48,2.05E-46
Arl11,1.8324162,6.64E-48,2.25E-46
Unc13d,1.028868151,6.67E-48,2.26E-46
Mrgprf,1.632846646,7.82E-48,2.64E-46
Emid1,0.948278709,8.11E-48,2.73E-46
Cyp1b1,1.016060736,8.28E-48,2.78E-46
Cnr1,-0.352307311,8.63E-48,2.90E-46
Ifitm3,0.909298274,9.01E-48,3.02E-46
Ctnna2,-0.251042721,1.01E-47,3.37E-46
Lonrf1,-0.440554439,1.03E-47,3.44E-46
Dll1,-0.450402164,1.20E-47,3.99E-46
Insig2,-0.233516171,1.31E-47,4.34E-46
Ctxnd1,-0.663798597,1.34E-47,4.45E-46
Dera,0.564122394,1.67E-47,5.53E-46
Rgma,0.459298708,1.76E-47,5.81E-46
Aox3,1.414495357,1.81E-47,5.98E-46
Gsap,0.482895606,1.83E-47,6.04E-46
Mmp11,0.786791953,2.04E-47,6.69E-46
Fam163b,0.823241097,2.32E-47,7.62E-46
Fgl2,1.223775998,2.33E-47,7.63E-46
Mamdc2,0.695043867,2.73E-47,8.91E-46
Vip,-0.521284349,2.98E-47,9.70E-46
Cnnm4,-0.374369123,3.76E-47,1.22E-45
Asap3,0.774961414,4.14E-47,1.35E-45
