gene,log2FoldChange,pvalue,padj
Micos10,-0.124097057,7.51E-09,2.24E-08
Gpr26,-0.258010359,7.53E-09,2.25E-08
Tpi-rs11,-0.167737249,1.22E-08,3.56E-08
Gm15545,0.406270592,2.24E-08,6.38E-08
Upf3b,-0.141115778,8.60E-09,2.55E-08
Cabp4,-0.440897832,2.25E-08,6.39E-08
Gm36457,0.295317411,2.02E-08,5.79E-08
S2bpcox16,-0.371792984,2.35E-08,6.67E-08
Bmerb1,0.072699339,7.78E-09,2.32E-08
Kcnk2,-0.160697778,7.91E-09,2.36E-08
Pphln1-ps1,-0.415096379,2.20E-08,6.26E-08
Rbm4b,-0.122044323,1.00E-08,2.95E-08
Atp8b5,0.387083999,2.31E-08,6.55E-08
Ccs,0.170296461,1.01E-08,2.99E-08
Fhl3,0.298070142,1.94E-08,5.56E-08
Ube2l6,0.242508714,1.43E-08,4.15E-08
Gm45838,-0.428776645,2.19E-08,6.23E-08
Gm5820,-0.336713864,2.06E-08,5.87E-08
Cry1,-0.245433881,9.77E-09,2.88E-08
Lsm3,-0.137283548,1.12E-08,3.28E-08
Dpp4,0.443029751,1.73E-08,4.98E-08
Cdh11,-0.159674298,7.95E-09,2.37E-08
Efcab2,0.132413477,9.20E-09,2.72E-08
Sfrp2,-0.318271251,2.02E-08,5.78E-08
Entr1,0.132067475,8.63E-09,2.56E-08
Dnase1,-0.199649154,1.42E-08,4.13E-08
Kdr,0.25755152,9.11E-09,2.70E-08
Ak1,0.109938074,8.23E-09,2.45E-08
Hhip,-0.259099409,1.06E-08,3.12E-08
Agbl2,0.502220352,2.02E-08,5.79E-08
Wac,-0.103172819,8.27E-09,2.46E-08
Ror2,0.479440884,2.37E-08,6.73E-08
Calhm2,-0.189255114,1.44E-08,4.17E-08
Zcchc17,-0.118222075,8.46E-09,2.52E-08
Nicn1,-0.089966518,8.41E-09,2.50E-08
Map3k7cl,0.49193188,2.43E-08,6.88E-08
Dgkz,-0.222034773,8.69E-09,2.58E-08
Grpel2,-0.096289724,9.60E-09,2.84E-08
Dclre1b,0.128300508,1.27E-08,3.72E-08
Zfp428,-0.186164319,1.10E-08,3.22E-08
Nrxn3,-0.212784459,8.55E-09,2.54E-08
Pxdc1,-0.179926495,1.26E-08,3.67E-08
Rnf182,-0.204563065,9.07E-09,2.69E-08
Tapt1,-0.076911966,8.82E-09,2.62E-08
Zfp607b,-0.141798429,1.10E-08,3.24E-08
2410004I01Rik,0.40340592,2.64E-08,7.47E-08
Gm7809,0.298581684,2.34E-08,6.64E-08
Sgo1,0.504554605,2.79E-08,7.87E-08
Net1,0.23801753,9.14E-09,2.71E-08
Pcif1,0.114635714,9.14E-09,2.71E-08
Mkln1,-0.158163696,8.89E-09,2.64E-08
Tab2,0.099871533,8.90E-09,2.64E-08
Ruvbl1,-0.119872504,9.55E-09,2.82E-08
Dda1,-0.126549394,9.13E-09,2.71E-08
Rnf19a,-0.15877448,9.09E-09,2.70E-08
Lipt2,0.166120955,1.62E-08,4.67E-08
Samd15,-0.223918449,1.99E-08,5.69E-08
Rbm41,-0.216936994,1.40E-08,4.08E-08
Vgf,-0.276065852,9.22E-09,2.73E-08
Cic,0.142309858,9.27E-09,2.75E-08
P3h1,0.202213141,1.52E-08,4.39E-08
Ssh3,0.28540946,1.20E-08,3.51E-08
