gene,log2FoldChange,pvalue,padj
Slc6a1,-0.492653269,8.59E-74,1.48E-69
Rprm,1.429836072,3.27E-73,2.81E-69
Spry4,-0.985806846,1.76E-67,1.01E-63
Dlx6os1,-0.955788312,2.63E-67,1.13E-63
Drd1,1.633214237,2.21E-65,6.33E-62
Adamts18,1.64395281,2.03E-65,6.33E-62
Acvr1c,1.255081299,8.53E-64,2.10E-60
Rtl3,-2.322481881,2.23E-63,4.80E-60
Tmc6,1.685784722,2.68E-62,5.12E-59
C1ql2,1.487029566,6.35E-62,1.09E-58
Plekha2,1.257155346,1.33E-61,2.08E-58
Htr5b,-1.390095003,2.00E-60,2.86E-57
Camk1g,-0.638876183,3.41E-59,4.52E-56
Rasd1,-1.408865265,8.39E-59,1.03E-55
Dusp6,-0.983032673,9.89E-58,1.13E-54
Egr4,-1.778168748,9.03E-57,9.71E-54
Gm34567,1.150611645,2.00E-56,2.02E-53
Stk26,-0.739419095,4.76E-56,4.55E-53
Pip5k1b,-0.755737927,1.06E-55,9.58E-53
Camkk2,-0.76039495,3.91E-55,3.37E-52
Nr4a1,-1.807224701,7.15E-55,5.86E-52
Penk,1.549807087,8.66E-55,6.78E-52
Egr1,-1.763468288,1.86E-54,1.39E-51
Col4a6,1.953354907,1.97E-54,1.41E-51
Npas4,-3.188041257,2.75E-54,1.89E-51
Nanos1,-0.41439467,4.26E-54,2.82E-51
Ngf,-0.79917191,1.54E-53,9.80E-51
C4b,2.356051807,1.90E-53,1.17E-50
Abhd6,-0.367600137,3.34E-53,1.92E-50
5830408C22Rik,2.000499293,2.24E-53,1.33E-50
Draxin,1.299228727,3.78E-53,2.10E-50
Bgn,1.653941061,4.39E-53,2.36E-50
Etv5,-0.595863985,8.62E-53,4.50E-50
Gfap,1.649394287,1.40E-52,7.07E-50
Sbk1,-0.674633569,5.12E-52,2.52E-49
Bpnt1,-0.308421368,8.33E-52,3.98E-49
Gnb5,-0.367936872,1.19E-51,5.53E-49
Epop,-1.256997535,1.36E-51,6.01E-49
6330420H09Rik,-1.765302818,1.26E-51,5.73E-49
Gm28578,1.142690115,1.83E-51,7.87E-49
Col6a1,1.581645537,9.07E-51,3.81E-48
C2cd4c,0.894430393,9.98E-51,4.09E-48
Slc2a10,0.962483947,1.27E-50,5.09E-48
Kcnip1,-0.487456349,6.32E-50,2.36E-47
Mmp19,1.734023462,5.23E-50,2.00E-47
Gm30551,3.295163918,2.49E-50,9.72E-48
Vim,1.717357107,2.33E-49,8.52E-47
Ubfd1,-0.326085914,3.85E-49,1.35E-46
Lnp1,1.852823949,3.79E-49,1.35E-46
Wnt7a,-0.627442456,9.59E-49,3.24E-46
Dnajb1,-0.817247136,9.27E-49,3.19E-46
S100a6,1.653457603,1.36E-48,4.43E-46
Ssc5d,1.923293705,1.36E-48,4.43E-46
Cav1,0.840515282,3.40E-48,1.08E-45
Col4a5,1.245294348,4.98E-48,1.56E-45
Arc,-1.992550841,1.12E-47,3.45E-45
Rhoj,0.810852204,2.05E-47,6.19E-45
Rasd2,-0.677011922,4.06E-47,1.20E-44
Msn,0.85072185,4.11E-47,1.20E-44
Ppl,1.35436115,1.80E-46,5.17E-44
Lhx6,-0.531025322,1.89E-46,5.33E-44
Car5b,0.796717938,2.15E-46,5.97E-44
Ltbp1,0.682627396,2.42E-46,6.61E-44
Gm15663,-0.524574017,5.08E-46,1.37E-43
Mfap4,1.63470587,1.02E-45,2.70E-43
Bcl6,-0.513784768,1.06E-45,2.76E-43
Dlx5,-0.785659838,1.59E-45,4.08E-43
Col1a1,2.062686589,1.70E-45,4.31E-43
Fgf9,-0.442154805,2.80E-45,7.00E-43
Flnc,2.000614498,4.05E-45,9.95E-43
Igfbpl1,1.699751995,5.82E-45,1.39E-42
B430319G15Rik,1.220121685,4.74E-45,1.15E-42
Col12a1,1.241834588,6.13E-45,1.45E-42
Mfap2,1.154225561,7.43E-45,1.73E-42
Rasl10a,0.642533925,8.03E-45,1.84E-42
Lrrc55,0.747920254,8.58E-45,1.94E-42
Gramd1c,0.77736986,1.07E-44,2.39E-42
Ecm1,1.232843691,1.50E-44,3.28E-42
Gm42829,-0.553043178,1.69E-44,3.60E-42
Pnma2,-0.526699449,1.53E-44,3.30E-42
Spcs3,-0.401343457,1.73E-44,3.63E-42
Bean1,-0.748810674,2.80E-44,5.74E-42
Moxd1,-0.649471368,2.75E-44,5.71E-42
Hcar2,3.11700692,1.28E-44,2.83E-42
Rbm24,-0.621031207,4.64E-44,9.40E-42
Col3a1,2.572997865,5.77E-44,1.15E-41
Mtrr,-0.434904364,6.26E-44,1.24E-41
Cxcr4,0.913543423,6.96E-44,1.33E-41
Slc14a1,0.932071709,6.35E-44,1.24E-41
Iglon5,0.467242457,6.60E-44,1.28E-41
Lamp5,-0.83299618,8.55E-44,1.62E-41
A2m,1.711502925,9.43E-44,1.76E-41
Gldn,1.948083825,1.16E-43,2.16E-41
Gm42864,1.299829637,1.39E-43,2.55E-41
Igfbp6,1.097270943,1.51E-43,2.74E-41
Eif4e3,-0.426206546,1.86E-43,3.29E-41
Ccsap,0.459442645,1.69E-43,3.03E-41
Nr4a2,-0.953378396,1.87E-43,3.29E-41
Glce,0.582970114,1.99E-43,3.47E-41
Anxa2,1.114302803,2.58E-43,4.44E-41
Chst15,0.577302261,2.64E-43,4.50E-41
Il13ra1,0.889923503,4.42E-43,7.39E-41
Slc22a4,1.001532157,4.77E-43,7.74E-41
Plekha3,-0.316979475,4.24E-43,7.16E-41
Pdgfrb,0.565082196,4.69E-43,7.74E-41
Slc7a4,0.476389529,4.72E-43,7.74E-41
Frzb,-0.950143134,5.11E-43,8.21E-41
Tsc22d3,-0.841560149,5.35E-43,8.53E-41
E2f6,-0.280209532,6.71E-43,1.06E-40
Dusp1,-1.044516474,7.24E-43,1.13E-40
Aspg,1.701845398,7.86E-43,1.20E-40
Tnfrsf11b,1.34052972,7.82E-43,1.20E-40
Plat,0.50981786,7.82E-43,1.20E-40
Capg,1.788878236,1.26E-42,1.90E-40
Spred3,-0.434765874,1.36E-42,2.01E-40
Nalf2,-0.479136826,1.36E-42,2.01E-40
Cck,-0.61182573,4.17E-42,6.14E-40
Gpam,0.493194831,9.86E-42,1.44E-39
Ip6k3,1.651282492,1.10E-41,1.59E-39
Lpcat3,0.380708418,1.89E-41,2.70E-39
Spint1,1.218211366,2.30E-41,3.27E-39
Rgs20,0.440075235,3.52E-41,4.97E-39
Lsp1,1.188133736,5.16E-41,7.17E-39
Id3,0.764110249,4.89E-41,6.84E-39
4931406C07Rik,0.362203072,5.63E-41,7.76E-39
Serping1,1.494077998,6.65E-41,9.02E-39
Fxyd7,-0.741204428,6.12E-41,8.37E-39
Txnrd3,0.665055268,7.73E-41,1.03E-38
Jade2,-0.523057392,8.08E-41,1.06E-38
Pja1,-0.228600335,8.05E-41,1.06E-38
Cdhr2,1.371340736,7.75E-41,1.03E-38
Pcsk5,0.745607017,1.15E-40,1.50E-38
B4galt1,0.740783175,1.59E-40,2.03E-38
Adgrg6,1.179291433,1.68E-40,2.10E-38
Kcnk4,-0.964308415,1.74E-40,2.16E-38
Las1l,-0.269282525,1.55E-40,2.01E-38
Fbxo7,0.411804409,1.59E-40,2.03E-38
Plekhg5,0.439056271,1.62E-40,2.05E-38
Fibcd1,-0.813128026,1.68E-40,2.10E-38
Mocos,0.919168801,2.25E-40,2.76E-38
Junb,-1.088482057,2.47E-40,3.01E-38
Tram1l1,-0.252671919,2.60E-40,3.15E-38
Tgfbr2,0.799393924,2.84E-40,3.42E-38
Mpped1,-0.430964608,2.87E-40,3.43E-38
2810459M11Rik,0.670177818,3.07E-40,3.65E-38
Rgs6,0.568638769,3.87E-40,4.50E-38
B3gat1,-0.515334689,3.59E-40,4.20E-38
Anxa4,1.083675917,5.10E-40,5.82E-38
Dnah1,0.753271049,4.90E-40,5.63E-38
Anxa5,0.772361194,4.28E-40,4.95E-38
1700014D04Rik,1.470292319,3.26E-40,3.84E-38
Sowaha,-0.491121292,5.91E-40,6.69E-38
Rab8b,-0.39871887,6.28E-40,7.07E-38
Ccdc3,1.024334898,6.80E-40,7.60E-38
Arsj,0.785848564,8.48E-40,9.42E-38
Dlx1as,-0.831211008,8.92E-40,9.84E-38
Dusp5,-0.883630431,9.33E-40,1.02E-37
Gadd45a,0.679138506,1.10E-39,1.20E-37
Dap,0.546123724,1.44E-39,1.54E-37
Col1a2,1.722793438,1.29E-39,1.39E-37
Bmp3,1.547485071,1.46E-39,1.56E-37
P4ha3,1.133541534,2.35E-39,2.46E-37
Arhgap36,1.847174754,2.48E-39,2.59E-37
Htr1b,-0.797650615,2.58E-39,2.66E-37
Sec14l1,-0.254647853,2.29E-39,2.44E-37
Egflam,0.690071739,2.98E-39,3.05E-37
Gfod1,-0.495030658,2.35E-39,2.46E-37
Ggta1,1.457923116,3.51E-39,3.48E-37
Itpripl2,0.635296854,3.40E-39,3.39E-37
Sctr,1.260815379,2.58E-39,2.66E-37
Slc44a2,0.3454852,3.03E-39,3.08E-37
Serpinf1,1.009114058,3.28E-39,3.30E-37
Kansl3,-0.336424091,3.17E-39,3.21E-37
Arhgef3,-0.379949424,3.29E-39,3.30E-37
Mthfd1l,-0.579793427,4.68E-39,4.60E-37
Homer2,-0.708551053,6.40E-39,6.26E-37
Klhl8,-0.239330527,7.16E-39,6.96E-37
S100a11,1.231111275,9.37E-39,8.91E-37
Adamtsl3,1.393088835,9.83E-39,9.30E-37
Per1,-0.664506552,7.59E-39,7.34E-37
Bhlhe41,0.740485725,7.90E-39,7.60E-37
1700016P03Rik,-1.539449505,9.06E-39,8.67E-37
Atp13a5,0.561361372,1.46E-38,1.35E-36
Ubl3,-0.223763153,1.26E-38,1.18E-36
Cplx1,-0.350213828,1.41E-38,1.31E-36
Osbpl1a,-0.300275498,1.41E-38,1.31E-36
Aebp1,1.775122277,1.65E-38,1.52E-36
Pigg,-0.33912565,1.75E-38,1.60E-36
Lgals1,0.984562851,2.22E-38,1.99E-36
Ndufb2,-0.323591076,2.11E-38,1.90E-36
Nxph1,-0.358034757,2.00E-38,1.82E-36
Akr1b8,1.987418027,1.79E-38,1.63E-36
Pros1,0.748631699,2.31E-38,2.06E-36
Gm38562,0.965156921,2.76E-38,2.45E-36
Parp3,0.943798901,3.35E-38,2.93E-36
Lingo2,0.601609122,2.92E-38,2.58E-36
Plod2,0.626208977,3.46E-38,3.01E-36
Fgf10,-0.694613041,3.09E-38,2.71E-36
Hacd4,0.938573416,5.38E-38,4.61E-36
Cybrd1,1.000115521,5.55E-38,4.73E-36
Clstn3,-0.352779343,4.97E-38,4.30E-36
Scn3b,-0.649515413,5.24E-38,4.51E-36
Chrm4,-0.550427347,6.36E-38,5.36E-36
Spring1,-0.323912795,5.76E-38,4.88E-36
Col6a2,1.23174312,7.98E-38,6.64E-36
Nrep,0.637452091,6.83E-38,5.74E-36
Trim25,0.569057942,8.75E-38,7.21E-36
Htra4,1.401398639,9.78E-38,7.94E-36
Bcl2l2,-0.290995942,7.77E-38,6.49E-36
Tsc22d1,-0.209139538,8.27E-38,6.85E-36
Arhgap29,0.687293285,9.54E-38,7.78E-36
Nr4a3,-1.137046434,9.26E-38,7.59E-36
5930430L01Rik,0.649159832,1.16E-37,9.33E-36
P2rx6,0.502799425,1.29E-37,1.03E-35
Elk3,0.532964983,1.24E-37,9.91E-36
Slc22a21,0.927618865,1.06E-37,8.53E-36
Vstm4,1.037372038,1.59E-37,1.24E-35
Syt4,-0.46064423,1.29E-37,1.03E-35
Ing1,-0.318538194,1.40E-37,1.10E-35
Fam131b,-0.28753686,1.33E-37,1.05E-35
Uap1,-0.257990902,1.38E-37,1.09E-35
A730036I17Rik,1.108156755,1.74E-37,1.35E-35
P2ry2,1.083294164,1.62E-37,1.26E-35
Osmr,1.319181855,2.06E-37,1.56E-35
Sema3a,1.042574182,2.24E-37,1.69E-35
Lamb2,0.677004902,1.90E-37,1.45E-35
Ptpn1,-0.329793269,1.83E-37,1.41E-35
Ip6k2,-0.278764133,1.95E-37,1.49E-35
Heyl,0.76049267,2.96E-37,2.18E-35
Pawr,0.787883341,3.02E-37,2.21E-35
Egr2,-2.823600596,2.98E-37,2.18E-35
Rap2a,-0.243150915,2.27E-37,1.71E-35
Casp3,0.418810355,2.74E-37,2.04E-35
Atg4b,-0.180084454,2.61E-37,1.95E-35
Khdc4,-0.401452906,2.74E-37,2.04E-35
Kcnip3,0.613380039,2.79E-37,2.06E-35
Luzp2,-0.43070301,3.13E-37,2.27E-35
Cort,-1.462300831,3.62E-37,2.62E-35
Zc3hav1,0.674303165,4.31E-37,3.07E-35
Ecel1,1.980242459,4.51E-37,3.19E-35
L2hgdh,-0.260216041,3.86E-37,2.78E-35
Gal,2.375229402,4.23E-37,3.03E-35
2900052N01Rik,-0.706319993,4.26E-37,3.05E-35
Mical1,0.577449454,5.96E-37,4.17E-35
Rims4,-0.473639333,5.48E-37,3.87E-35
Rida,0.667733094,5.62E-37,3.95E-35
Nkiras1,-0.252780455,7.04E-37,4.91E-35
Lgals8,0.304114104,8.00E-37,5.55E-35
Col5a2,1.234210419,1.01E-36,6.95E-35
Flt3,-0.615153224,1.01E-36,6.93E-35
Prkar2a,-0.347036295,8.89E-37,6.15E-35
Adgrf4,2.194412253,1.28E-36,8.69E-35
Asic4,-0.591619094,1.43E-36,9.59E-35
Lurap1l,-0.684862086,1.20E-36,8.13E-35
Phactr1,-0.288728525,1.32E-36,8.93E-35
Gm42865,1.797580535,1.07E-36,7.32E-35
Entpd2,0.751781835,1.74E-36,1.17E-34
Fzd6,0.556150473,1.88E-36,1.26E-34
Palld,0.526473704,2.07E-36,1.38E-34
Ndc1,0.274895414,2.41E-36,1.60E-34
Thbs2,1.050578168,2.96E-36,1.95E-34
Rgs12,-0.316034927,2.68E-36,1.77E-34
Col5a3,1.086622393,3.47E-36,2.27E-34
Aldh1l2,1.093644234,4.17E-36,2.70E-34
Armcx1,-0.288927583,3.52E-36,2.30E-34
Rdh13,-0.298385215,4.03E-36,2.62E-34
Arfgap3,0.320793327,4.50E-36,2.90E-34
Cyp4v3,0.48266009,5.66E-36,3.60E-34
Ahnak2,1.577621753,5.78E-36,3.66E-34
Sox1ot,-0.500763304,5.55E-36,3.55E-34
Syngr3,-0.280288126,5.30E-36,3.41E-34
Dlc1,-0.467994924,5.64E-36,3.60E-34
Cavin1,0.826287072,6.16E-36,3.87E-34
Gm9776,0.551636493,7.80E-36,4.76E-34
Spidr,0.382855889,7.64E-36,4.70E-34
Gucy1b1,-0.273131445,5.88E-36,3.71E-34
Cilp2,0.808510956,7.83E-36,4.76E-34
Smyd4,0.395766907,7.08E-36,4.40E-34
Reps1,-0.266686704,6.45E-36,4.03E-34
Cd151,0.599405215,7.02E-36,4.38E-34
Gfpt2,0.966316158,8.64E-36,5.20E-34
Col4a1,0.555290878,7.20E-36,4.46E-34
Uhrf2,-0.32389234,7.43E-36,4.58E-34
G6pdx,0.312040255,7.71E-36,4.72E-34
Camk2n1,-0.424821486,8.05E-36,4.88E-34
Nnmt,1.143902684,8.16E-36,4.93E-34
Cd44,1.657963069,1.03E-35,6.17E-34
Eepd1,-0.341702969,1.12E-35,6.65E-34
Nfatc4,1.020427379,1.31E-35,7.75E-34
Rab32,0.785549883,1.39E-35,8.14E-34
Fgfr1op2,-0.384637937,1.07E-35,6.39E-34
Col16a1,1.118648207,1.37E-35,8.09E-34
Stk32b,-0.688132621,1.49E-35,8.73E-34
Lactb2,0.452551021,1.37E-35,8.09E-34
Bmf,0.772855225,1.75E-35,1.01E-33
Fos,-2.004694131,1.60E-35,9.36E-34
Slc29a1,0.40023317,1.67E-35,9.67E-34
Stambpl1,-0.305229131,1.83E-35,1.05E-33
Lrrn3,-0.383921784,1.63E-35,9.48E-34
Gm20743,0.908533291,2.31E-35,1.32E-33
Pcsk1,-0.696840737,2.21E-35,1.26E-33
Acvr1,0.484430438,2.21E-35,1.26E-33
Ppp1r3d,-0.389695784,2.84E-35,1.61E-33
Notch2,0.674577788,2.63E-35,1.49E-33
Slc44a5,-0.646668219,2.57E-35,1.46E-33
5330413P13Rik,0.802460325,3.99E-35,2.21E-33
Unc93b1,0.824318192,3.78E-35,2.11E-33
Cryzl2,0.76839871,4.22E-35,2.33E-33
Mn1,-0.485116052,3.77E-35,2.11E-33
Mxra8,0.990323358,4.51E-35,2.48E-33
Entpd6,-0.277601297,3.51E-35,1.97E-33
Emilin1,1.191436695,4.92E-35,2.69E-33
Nek9,0.228021174,3.57E-35,2.00E-33
Lox,2.273900861,4.89E-35,2.68E-33
Dach2,0.737968934,6.40E-35,3.43E-33
Agmat,2.737541418,3.93E-35,2.18E-33
Pdlim4,0.972065105,5.94E-35,3.20E-33
Sox9,0.589391197,5.21E-35,2.84E-33
Fbxo17,0.711316225,6.95E-35,3.69E-33
Mylk,0.500052351,5.91E-35,3.20E-33
Efcab7,0.627240848,7.80E-35,4.12E-33
Egfem1,-0.626541311,7.60E-35,4.02E-33
Sfrp4,0.845043608,7.95E-35,4.19E-33
Kcnf1,-0.604266261,5.87E-35,3.19E-33
Mfap3l,0.385490739,6.11E-35,3.29E-33
Cpne8,-0.537228844,6.83E-35,3.65E-33
Cyp2j6,0.378959603,6.92E-35,3.69E-33
Cd276,0.457687461,8.42E-35,4.39E-33
Ccdc184,-0.46761438,8.01E-35,4.19E-33
Fblim1,1.309632381,8.84E-35,4.60E-33
Gm29695,1.19490404,9.55E-35,4.95E-33
Emp3,1.375954542,1.00E-34,5.17E-33
Cacna1i,-0.676720022,8.00E-35,4.19E-33
Galnt15,1.321123106,1.27E-34,6.47E-33
Dlx6,-0.726173279,1.28E-34,6.49E-33
Clic1,0.738131189,1.13E-34,5.81E-33
Rundc1,-0.312499328,1.03E-34,5.31E-33
Mei1,2.644815299,9.63E-35,4.98E-33
Akna,0.646838455,1.47E-34,7.36E-33
Wee1,-0.393622455,1.20E-34,6.13E-33
Micall2,0.825435661,1.69E-34,8.42E-33
Piga,-0.477006778,1.50E-34,7.52E-33
Anks1b,-0.248621283,1.23E-34,6.27E-33
Alkal2,-1.014824119,1.72E-34,8.53E-33
Smoc1,0.687517911,1.39E-34,7.00E-33
Erbb2,0.68109401,1.80E-34,8.91E-33
Serpini1,-0.378016601,1.32E-34,6.64E-33
Plekha4,1.36048812,1.72E-34,8.53E-33
Cdk18,0.888948031,1.92E-34,9.47E-33
AU020206,1.432211908,2.66E-34,1.28E-32
Plcl2,-0.296792835,1.90E-34,9.36E-33
Thap12,-0.232286254,1.94E-34,9.49E-33
Atcay,-0.216281334,2.05E-34,1.00E-32
Ark2n,-0.352093428,2.13E-34,1.03E-32
Il1r2,1.497997974,2.03E-34,9.93E-33
Gm13293,0.985181159,2.95E-34,1.41E-32
Pnkd,-0.329101549,2.25E-34,1.09E-32
Kcne5,1.424558307,3.03E-34,1.44E-32
Rnh1,0.424006247,2.50E-34,1.20E-32
Ppa1,-0.217731045,2.48E-34,1.20E-32
B3galt5,-0.482955111,2.77E-34,1.33E-32
Cat,0.428870338,3.09E-34,1.47E-32
Pip4p2,-0.248900982,3.30E-34,1.57E-32
Ttc12,0.800026026,4.94E-34,2.32E-32
Ccn4,1.926788951,5.13E-34,2.40E-32
Fadd,0.571853831,5.29E-34,2.47E-32
Rabgef1,-0.199941409,4.07E-34,1.92E-32
Bend6,-0.267719892,4.19E-34,1.98E-32
Itga5,0.876102984,6.27E-34,2.90E-32
Bicdl1,-0.43121225,4.97E-34,2.33E-32
Siah2,-0.400474165,6.03E-34,2.79E-32
Pptc7,-0.28316279,5.43E-34,2.53E-32
Fam114a1,0.624842081,7.11E-34,3.27E-32
Timp1,2.927024811,5.82E-34,2.70E-32
Gbp2,1.005103276,7.88E-34,3.59E-32
Ptx3,1.82147907,8.24E-34,3.73E-32
Fkbp10,0.693495841,8.42E-34,3.79E-32
Cavin3,0.482312326,7.66E-34,3.50E-32
Ppp1r13b,-0.332450924,7.17E-34,3.29E-32
Smim17,-0.451532754,8.41E-34,3.79E-32
Mpp2,-0.346362045,7.67E-34,3.50E-32
Rab35,-0.181492248,8.22E-34,3.73E-32
Elfn2,-0.450804651,8.45E-34,3.80E-32
Ube2q1,-0.167943027,8.82E-34,3.95E-32
Slc25a24,0.623817201,1.46E-33,6.35E-32
Arx,-0.449665876,1.18E-33,5.22E-32
Cfh,1.019317523,1.11E-33,4.92E-32
Acp7,0.827736224,1.49E-33,6.50E-32
Ctxnd1,-0.70179692,1.08E-33,4.85E-32
Elovl4,-0.32321244,1.10E-33,4.91E-32
Rph3a,-0.302004032,1.18E-33,5.22E-32
Nid1,0.915193456,1.39E-33,6.12E-32
Kank2,0.619681637,1.44E-33,6.28E-32
Irs2,-0.486764378,1.28E-33,5.67E-32
Dll1,-0.449873777,1.71E-33,7.42E-32
Opa3,-0.247599134,1.32E-33,5.79E-32
Pard6g,0.599310449,1.82E-33,7.87E-32
Amd1,-0.231514653,1.42E-33,6.23E-32
Alox12b,-1.160557124,2.14E-33,9.23E-32
St8sia2,0.827234977,2.10E-33,9.05E-32
Tgif1,1.097651935,2.21E-33,9.50E-32
Hk2,0.741707144,2.23E-33,9.56E-32
Lgi4,0.602669215,2.29E-33,9.76E-32
Clec18a,1.051636133,3.03E-33,1.28E-31
Fitm2,-0.246593844,2.48E-33,1.06E-31
Pdgfrl,0.841273573,3.67E-33,1.53E-31
Notch3,0.532294059,3.05E-33,1.29E-31
Fmnl3,0.467377897,3.21E-33,1.35E-31
Upp1,-0.711179778,4.12E-33,1.71E-31
Insig2,-0.236164772,2.96E-33,1.26E-31
Homer1,-0.866842338,3.05E-33,1.29E-31
Best3,1.299249583,4.08E-33,1.69E-31
Niban2,0.682221922,3.39E-33,1.42E-31
Ric8b,-0.240900084,3.65E-33,1.53E-31
Per2,-0.752604104,4.01E-33,1.67E-31
Ddn,-0.497171765,3.99E-33,1.66E-31
Dcx,0.664375778,4.43E-33,1.83E-31
Arhgef15,0.627792063,5.80E-33,2.37E-31
Angpt2,1.490562844,6.67E-33,2.70E-31
Peg13,-0.278905151,5.08E-33,2.09E-31
Ina,-0.325968734,5.13E-33,2.11E-31
Bach1,0.372430314,5.73E-33,2.34E-31
Gm44763,0.731730051,7.48E-33,3.02E-31
Erbin,0.503841727,5.30E-33,2.17E-31
Josd1,-0.226660698,6.20E-33,2.52E-31
Ndel1,-0.260692522,6.64E-33,2.70E-31
Kif18a,0.878569565,1.04E-32,4.16E-31
Cyb5r3,0.416245882,8.16E-33,3.29E-31
Tnfrsf1a,0.819295445,1.00E-32,4.02E-31
Clec14a,0.915009511,1.17E-32,4.65E-31
Ctnna2,-0.254375247,9.61E-33,3.86E-31
Pgghg,0.551325699,1.45E-32,5.75E-31
Entrep2,-0.415784939,1.10E-32,4.41E-31
Fhl4,0.698579811,1.59E-32,6.27E-31
Steap3,0.728583064,1.65E-32,6.48E-31
Cnnm4,-0.377196165,1.55E-32,6.13E-31
Cela1,1.155161593,1.98E-32,7.65E-31
Fosb,-1.225408486,1.62E-32,6.40E-31
Ccdc80,0.899982655,1.73E-32,6.77E-31
Sgtb,-0.26158643,1.44E-32,5.73E-31
Fzd8,0.56913101,1.94E-32,7.53E-31
Nwd2,-0.68635392,1.63E-32,6.40E-31
Lonrf1,-0.4400821,1.71E-32,6.70E-31
Igsf10,0.979357204,2.39E-32,9.17E-31
Elovl6,-0.424400094,1.74E-32,6.77E-31
Slc2a4,1.494515578,2.53E-32,9.62E-31
Rhbdd1,0.373152912,2.28E-32,8.75E-31
Limch1,0.301907325,1.90E-32,7.40E-31
Naprt,0.720075109,2.67E-32,1.01E-30
Mapk10,-0.382989194,2.03E-32,7.85E-31
P4ha2,-0.531671483,2.81E-32,1.06E-30
Ddr1,0.548385833,2.24E-32,8.64E-31
Car4,-0.674275787,2.40E-32,9.18E-31
Sox11,0.741575654,2.42E-32,9.25E-31
Rflnb,0.743565247,2.57E-32,9.78E-31
Cd33,0.755069052,3.36E-32,1.25E-30
Cd1d1,1.420923627,3.56E-32,1.32E-30
Serpina3n,0.807848821,2.71E-32,1.02E-30
Casp12,1.395117725,3.65E-32,1.35E-30
Tmem86a,0.604653624,3.37E-32,1.25E-30
Hexim1,-0.259339395,2.88E-32,1.08E-30
Vip,-0.524378617,3.16E-32,1.18E-30
Ankrd28,0.332612341,2.91E-32,1.09E-30
P4ha1,-0.542496489,3.04E-32,1.14E-30
Clu,0.455839673,3.26E-32,1.22E-30
Slc6a11,-0.361408123,3.27E-32,1.22E-30
Rragb,-0.226447712,3.65E-32,1.35E-30
Adamts12,1.691777327,4.55E-32,1.67E-30
Plp2,0.82758067,6.62E-32,2.40E-30
Poglut3,0.346173856,5.89E-32,2.14E-30
Errfi1,-0.500540947,4.62E-32,1.70E-30
Ifi202b,2.56520872,5.50E-32,2.01E-30
Cnr1,-0.351180802,4.81E-32,1.76E-30
Mmp11,0.780313046,6.93E-32,2.50E-30
Gdap2,-0.26427978,5.26E-32,1.92E-30
Efemp1,0.988651032,6.89E-32,2.49E-30
Tnc,1.045664201,6.96E-32,2.51E-30
Serpina3f,0.91493876,8.86E-32,3.15E-30
Fndc5,-0.464658697,6.32E-32,2.29E-30
Ednra,0.465725915,8.52E-32,3.04E-30
Fcgr2b,1.398080719,9.92E-32,3.49E-30
Ss18,0.34691599,7.28E-32,2.61E-30
Paip2b,-0.222380548,7.25E-32,2.60E-30
Adgre1,0.985597861,9.93E-32,3.49E-30
Sncaip,0.529776737,1.02E-31,3.58E-30
Synpo2,0.789413474,9.49E-32,3.35E-30
Tmem126b,-0.244847322,8.30E-32,2.97E-30
Edrf1,-0.341870786,8.49E-32,3.03E-30
Chst10,-0.29684647,8.92E-32,3.17E-30
Tmeff2,0.267707555,9.27E-32,3.28E-30
Armcx3,-0.295998156,9.87E-32,3.48E-30
Msantd4,-0.206401392,1.23E-31,4.29E-30
Chordc1,-0.502681753,1.23E-31,4.31E-30
Sp9,-0.657677487,1.76E-31,6.10E-30
Gsap,0.471636143,1.87E-31,6.42E-30
Gng4,-0.620983255,1.56E-31,5.41E-30
Maml3,0.54119254,1.85E-31,6.38E-30
Dera,0.553306817,2.26E-31,7.73E-30
Fam217b,-0.270569421,1.53E-31,5.33E-30
Tep1,0.544260086,2.22E-31,7.62E-30
Atg16l1,-0.212854328,1.66E-31,5.76E-30
E530011L22Rik,0.514281689,2.32E-31,7.90E-30
Lhfpl6,0.811711476,1.83E-31,6.32E-30
Blnk,0.975192773,2.30E-31,7.84E-30
Myom3,0.784994595,2.80E-31,9.44E-30
Rhot2,-0.286718928,2.22E-31,7.62E-30
Ctnnbl1,-0.236895288,2.33E-31,7.93E-30
C3ar1,1.767013429,3.51E-31,1.18E-29
Mboat1,0.853057597,3.71E-31,1.24E-29
Aqp4,0.680909794,2.64E-31,8.96E-30
Tor4a,0.819076832,3.82E-31,1.27E-29
Twsg1,0.302359461,2.71E-31,9.18E-30
Tmem185a,-0.206998345,2.77E-31,9.36E-30
Gprc5c,0.987513655,4.26E-31,1.41E-29
Rgma,0.446734602,3.07E-31,1.03E-29
Mafg,-0.243169511,3.08E-31,1.03E-29
Prrx2,1.362875777,4.29E-31,1.41E-29
Mrgprf,1.618299794,5.01E-31,1.63E-29
Inafm2,-0.322557147,3.56E-31,1.19E-29
Tnfrsf19,0.260102203,3.77E-31,1.26E-29
Ube2ql1,-0.304916068,3.91E-31,1.30E-29
Lama4,0.776286667,5.42E-31,1.76E-29
Cap2,-0.296044613,4.03E-31,1.34E-29
Faim2,-0.337539164,4.23E-31,1.40E-29
Plcd1,0.547549984,5.49E-31,1.78E-29
Gadl1,1.307611343,5.62E-31,1.82E-29
Tlnrd1,-0.363318015,4.99E-31,1.63E-29
Zfp385b,-0.467341168,4.79E-31,1.58E-29
