gene,log2FoldChange,pvalue,padj
5830408C22Rik,2.072167447,1.42E-30,1.35E-27
6330420H09Rik,-1.588926386,1.09E-30,1.35E-27
Abhd6,-0.363257258,1.52E-30,1.35E-27
Adamts18,1.676625532,7.52E-31,1.35E-27
C1ql2,1.554652171,9.19E-31,1.35E-27
C4b,2.583312387,8.60E-31,1.35E-27
Capg,1.956093936,1.57E-30,1.35E-27
Cd44,1.875749825,2.05E-30,1.35E-27
Col4a6,2.040016458,1.86E-30,1.35E-27
Dlx6os1,-0.946707244,1.28E-30,1.35E-27
Draxin,1.320992806,2.12E-30,1.35E-27
Drd1,1.632436855,1.86E-30,1.35E-27
Flnc,2.142634147,1.57E-30,1.35E-27
Gfap,1.799149421,1.24E-30,1.35E-27
Gldn,2.12710773,1.86E-30,1.35E-27
Htr5b,-1.333422596,1.24E-30,1.35E-27
Pip5k1b,-0.740388588,1.62E-30,1.35E-27
Plekha2,1.295405169,1.12E-30,1.35E-27
Rasd1,-1.346501583,8.60E-31,1.35E-27
Rprm,1.46648293,9.51E-31,1.35E-27
Rtl3,-2.127046434,1.37E-30,1.35E-27
S100a6,1.7962477,1.28E-30,1.35E-27
Slc22a4,1.066736112,1.92E-30,1.35E-27
Slc6a1,-0.488551237,7.52E-31,1.35E-27
Spry4,-0.986404228,2.12E-30,1.35E-27
Tmc6,1.730943848,8.60E-31,1.35E-27
Vim,1.894921509,1.68E-30,1.35E-27
Camk1g,-0.637344762,2.34E-30,1.44E-27
Gm34567,1.151005466,2.86E-30,1.64E-27
Msn,0.902574645,2.86E-30,1.64E-27
Camkk2,-0.734129177,3.16E-30,1.75E-27
Gm30551,3.416231018,3.49E-30,1.88E-27
Ggta1,1.605586921,3.86E-30,2.01E-27
Mmp19,1.795997546,3.99E-30,2.02E-27
Slc14a1,0.995852132,4.12E-30,2.03E-27
P4ha3,1.23694256,4.26E-30,2.04E-27
Ccdc3,1.127517908,4.71E-30,2.15E-27
Dnajb1,-0.852973754,4.86E-30,2.15E-27
Slc2a10,0.968201965,4.86E-30,2.15E-27
A2m,1.874780517,5.20E-30,2.24E-27
Col6a1,1.558297729,5.93E-30,2.32E-27
Hcar2,3.121959513,5.92E-30,2.32E-27
Ppl,1.424884028,5.93E-30,2.32E-27
Ptx3,2.132145143,5.74E-30,2.32E-27
Lnp1,1.920448169,6.34E-30,2.37E-27
Pnma2,-0.511164443,6.34E-30,2.37E-27
Adgrf4,2.505339979,6.55E-30,2.40E-27
Slc6a5,4.375414218,6.99E-30,2.51E-27
Timp1,3.251908433,7.72E-30,2.71E-27
Nanos1,-0.409772322,7.98E-30,2.75E-27
Ccn4,2.192557134,8.53E-30,2.88E-27
Etv5,-0.589453065,8.82E-30,2.92E-27
Stk26,-0.719239526,9.73E-30,3.16E-27
Acvr1c,1.28028534,1.04E-29,3.31E-27
Cxcr4,0.964897017,1.07E-29,3.36E-27
Rhoj,0.826916943,1.19E-29,3.52E-27
Slc7a4,0.486483118,1.19E-29,3.52E-27
Tsc22d3,-0.885179997,1.19E-29,3.52E-27
Gfpt2,1.066986964,1.27E-29,3.69E-27
Bgn,1.748491749,1.31E-29,3.75E-27
Ngf,-0.799646092,1.44E-29,4.07E-27
Rbm24,-0.608936043,1.54E-29,4.28E-27
Gm28578,1.173986121,1.70E-29,4.65E-27
Bhlhe41,0.795128367,1.82E-29,4.81E-27
Penk,1.61772121,1.82E-29,4.81E-27
Gpam,0.510797445,1.88E-29,4.82E-27
Tgfbr2,0.848571428,1.88E-29,4.82E-27
Bpnt1,-0.307382498,1.94E-29,4.91E-27
Ubfd1,-0.328353388,2.07E-29,5.17E-27
Sbk1,-0.674335379,2.44E-29,6.00E-27
C3ar1,2.018660658,2.52E-29,6.03E-27
Osmr,1.451016067,2.52E-29,6.03E-27
S1pr3,1.607679926,2.60E-29,6.14E-27
C2cd4c,0.913487838,2.78E-29,6.47E-27
Col12a1,1.292743528,3.17E-29,7.27E-27
Ssc5d,1.984610642,3.27E-29,7.41E-27
Mfap4,1.705527173,3.49E-29,7.81E-27
Cav1,0.871703809,3.61E-29,7.97E-27
AU020206,1.594817617,3.85E-29,8.19E-27
Adamtsl3,1.520972082,3.85E-29,8.19E-27
Npas4,-1.797182419,3.85E-29,8.19E-27
Gm42864,1.347495113,3.98E-29,8.36E-27
Ccsap,0.463658161,4.25E-29,8.60E-27
Fbxo7,0.42361999,4.25E-29,8.60E-27
Tgif1,1.200597466,4.25E-29,8.60E-27
Spcs3,-0.401773534,4.68E-29,9.38E-27
Epop,-1.226283689,5.16E-29,1.02E-26
Glce,0.602748067,5.69E-29,1.11E-26
Agmat,2.851825229,5.87E-29,1.14E-26
Lamp5,-0.821379068,6.28E-29,1.19E-26
Wnt7a,-0.631390422,6.28E-29,1.19E-26
Rasd2,-0.666136777,6.48E-29,1.21E-26
Car5b,0.818506247,6.70E-29,1.24E-26
Igfbpl1,1.744823703,7.15E-29,1.29E-26
Kcnip1,-0.48421637,7.15E-29,1.29E-26
Arhgap36,1.931189865,7.63E-29,1.37E-26
Nr4a1,-1.646158116,8.14E-29,1.44E-26
Aldh1l2,1.193894904,8.68E-29,1.51E-26
Anxa5,0.826965836,8.68E-29,1.51E-26
Dlx5,-0.790081924,9.88E-29,1.68E-26
Gm42829,-0.557422222,9.88E-29,1.68E-26
Mei1,2.815622842,1.02E-28,1.72E-26
Txnrd3,0.675393794,1.12E-28,1.88E-26
Anxa4,1.127827688,1.20E-28,1.99E-26
Gramd1c,0.77419615,1.24E-28,2.03E-26
Gnb5,-0.364419852,1.36E-28,2.22E-26
Cck,-0.591381614,1.41E-28,2.23E-26
Col4a5,1.281654748,1.41E-28,2.23E-26
Parp3,1.011148554,1.41E-28,2.23E-26
Tnfrsf11b,1.398939597,1.46E-28,2.28E-26
Plekha3,-0.313796952,1.50E-28,2.33E-26
B3gat1,-0.494042473,1.55E-28,2.39E-26
Lhx6,-0.536543598,1.66E-28,2.52E-26
Fcgr2b,1.579378373,1.77E-28,2.67E-26
B430319G15Rik,1.246636525,1.82E-28,2.73E-26
Ecm1,1.290270516,2.01E-28,2.98E-26
Lpcat3,0.388607733,2.07E-28,3.05E-26
Dusp6,-0.943502853,2.14E-28,3.13E-26
Ltbp1,0.682365967,2.21E-28,3.20E-26
Gm15663,-0.525036671,2.28E-28,3.22E-26
Homer2,-0.680362162,2.28E-28,3.22E-26
Ip6k3,1.699510767,2.28E-28,3.22E-26
2810459M11Rik,0.696044579,2.36E-28,3.28E-26
Egr4,-1.623776192,2.36E-28,3.28E-26
Iglon5,0.459980972,2.44E-28,3.36E-26
Fgf9,-0.444774965,2.52E-28,3.38E-26
Lrrc55,0.756529422,2.52E-28,3.38E-26
Mfap2,1.137881942,2.52E-28,3.38E-26
Fgf10,-0.658279821,2.60E-28,3.47E-26
Gadd45a,0.708662918,2.68E-28,3.55E-26
Fibcd1,-0.769880424,2.86E-28,3.76E-26
Eif4e3,-0.415570394,2.95E-28,3.85E-26
Frzb,-0.881165421,3.05E-28,3.95E-26
Dusp1,-1.030676887,3.15E-28,4.05E-26
Gal,2.538608062,3.25E-28,4.15E-26
Serpinf2,3.067071874,3.36E-28,4.25E-26
Pdlim4,1.055880207,3.58E-28,4.50E-26
Arsj,0.818428374,3.82E-28,4.69E-26
Gm38562,1.022891525,3.82E-28,4.69E-26
Itpripl2,0.664749774,3.82E-28,4.69E-26
Igfbp6,1.072407934,3.94E-28,4.81E-26
Entpd2,0.786810599,4.07E-28,4.93E-26
Kcnk4,-0.885072316,4.20E-28,5.06E-26
Bcl6,-0.508943628,4.34E-28,5.15E-26
Col3a1,2.552701366,4.34E-28,5.15E-26
Col1a1,2.090832868,4.48E-28,5.24E-26
Mpped1,-0.41943563,4.48E-28,5.24E-26
Egr1,-1.607090671,5.09E-28,5.88E-26
Pdgfrb,0.566133028,5.09E-28,5.88E-26
Anxa2,1.167296268,5.60E-28,6.43E-26
Rasl10a,0.647576028,5.97E-28,6.81E-26
Bean1,-0.735882493,6.16E-28,6.98E-26
Plat,0.52205021,6.36E-28,7.16E-26
Ccdc80,0.99939603,6.57E-28,7.25E-26
Col16a1,1.208282794,6.57E-28,7.25E-26
Lingo2,0.615827554,6.57E-28,7.25E-26
Gpnmb,2.411773352,7.00E-28,7.63E-26
Spred3,-0.428170754,7.00E-28,7.63E-26
Pja1,-0.227451609,7.46E-28,8.08E-26
Ahnak2,1.697797968,7.95E-28,8.20E-26
Aspg,1.712666093,7.70E-28,8.20E-26
Fxyd7,-0.720283716,7.95E-28,8.20E-26
Il13ra1,0.93482488,7.95E-28,8.20E-26
Mtrr,-0.429498576,7.70E-28,8.20E-26
Rgs20,0.443352159,7.95E-28,8.20E-26
Slc44a2,0.355719546,7.95E-28,8.20E-26
Syt4,-0.456790161,7.95E-28,8.20E-26
E2f6,-0.280785521,8.21E-28,8.36E-26
Pcsk5,0.78549793,8.21E-28,8.36E-26
Sec14l1,-0.251852521,8.75E-28,8.86E-26
Bcl2l2,-0.286970486,9.03E-28,9.09E-26
Nek6,0.445022572,9.32E-28,9.28E-26
Scn3b,-0.627304575,9.32E-28,9.28E-26
4931406C07Rik,0.369220339,9.93E-28,9.83E-26
Bmp3,1.655376745,1.28E-27,1.26E-25
G6pdx,0.32317149,1.32E-27,1.29E-25
Pros1,0.801270063,1.36E-27,1.33E-25
Cdk18,0.969478117,1.41E-27,1.35E-25
Chst15,0.595250011,1.41E-27,1.35E-25
Lgals1,1.030855432,1.50E-27,1.43E-25
Dap,0.565389693,1.60E-27,1.51E-25
Id3,0.774339192,1.60E-27,1.51E-25
Mocos,0.948745627,1.70E-27,1.60E-25
Cdhr2,1.399667427,1.76E-27,1.64E-25
Cyp4v3,0.507840129,1.81E-27,1.69E-25
Plekhg5,0.437416057,1.87E-27,1.72E-25
Sctr,1.282124754,1.87E-27,1.72E-25
Adgrg6,1.236537649,1.93E-27,1.74E-25
Dgat2l6,2.173592156,1.93E-27,1.74E-25
Ifi202b,2.675090899,1.93E-27,1.74E-25
Kcnip3,0.63634411,1.93E-27,1.74E-25
Blnk,1.073802453,1.99E-27,1.79E-25
Htra4,1.475968339,2.06E-27,1.84E-25
Osbpl1a,-0.296631755,2.12E-27,1.87E-25
Spint1,1.248786731,2.12E-27,1.87E-25
Il1r2,1.607248536,2.33E-27,2.03E-25
Nnmt,1.1736284,2.33E-27,2.03E-25
Rgs6,0.572526593,2.33E-27,2.03E-25
Cd68,1.501310091,2.41E-27,2.06E-25
Ip6k2,-0.277671934,2.41E-27,2.06E-25
Lrrn3,-0.374706329,2.41E-27,2.06E-25
Dnah1,0.77581931,2.49E-27,2.10E-25
Kcne5,1.577649656,2.49E-27,2.10E-25
Nr4a2,-0.916613966,2.49E-27,2.10E-25
Klhl8,-0.23901348,2.57E-27,2.15E-25
Junb,-1.040620464,2.91E-27,2.43E-25
Arc,-1.771584377,3.10E-27,2.57E-25
Sowaha,-0.476486017,3.10E-27,2.57E-25
Lsp1,1.213938055,3.30E-27,2.72E-25
1700014D04Rik,1.412170661,3.51E-27,2.88E-25
Cplx1,-0.34368981,3.63E-27,2.96E-25
5930430L01Rik,0.65760099,3.86E-27,3.08E-25
Cela1,1.262670893,3.86E-27,3.08E-25
Gbp2,1.062016508,3.86E-27,3.08E-25
Hacd4,0.996055084,3.86E-27,3.08E-25
Sema3a,1.104276419,3.86E-27,3.08E-25
Atg4b,-0.179669554,3.99E-27,3.15E-25
Unc93b1,0.873233882,3.99E-27,3.15E-25
Dhrs1,0.569739504,4.24E-27,3.31E-25
Lox,2.321990438,4.24E-27,3.31E-25
Thbs2,1.122470676,4.24E-27,3.31E-25
St8sia2,0.881166122,4.96E-27,3.85E-25
Ndc1,0.275804803,5.12E-27,3.94E-25
Nek9,0.231751497,5.12E-27,3.94E-25
Cybrd1,1.007170535,5.45E-27,4.17E-25
Egflam,0.701358475,5.81E-27,4.42E-25
Camk2n1,-0.421520692,5.99E-27,4.52E-25
Clec18a,1.117924301,5.99E-27,4.52E-25
Elk3,0.542847552,6.18E-27,4.65E-25
Las1l,-0.268664706,6.38E-27,4.75E-25
Septin6,-0.369756789,6.38E-27,4.75E-25
Serpinf1,1.057806349,6.79E-27,5.01E-25
Stambpl1,-0.304591162,6.79E-27,5.01E-25
Gm42865,1.812677477,7.00E-27,5.15E-25
Sox9,0.602699424,7.23E-27,5.29E-25
Luzp2,-0.428715305,7.93E-27,5.79E-25
2900052N01Rik,-0.694674215,8.19E-27,5.90E-25
Cryzl2,0.813556969,8.19E-27,5.90E-25
Rab32,0.832234932,8.19E-27,5.90E-25
Cd180,1.436737235,8.45E-27,6.03E-25
Col5a2,1.284160929,8.45E-27,6.03E-25
Htr1b,-0.797157581,8.71E-27,6.17E-25
Tram1l1,-0.249675247,8.71E-27,6.17E-25
Nalf2,-0.477134071,8.99E-27,6.34E-25
Niban2,0.71537885,9.27E-27,6.52E-25
B4galt1,0.76191575,9.57E-27,6.69E-25
Cort,-1.449811856,9.87E-27,6.85E-25
Nkiras1,-0.250959789,9.87E-27,6.85E-25
Rab8b,-0.396591233,1.02E-26,7.04E-25
A730036I17Rik,1.155865345,1.05E-26,7.20E-25
Nxph1,-0.358014225,1.05E-26,7.20E-25
Clec7a,3.875983007,1.12E-26,7.61E-25
Clic1,0.781281208,1.12E-26,7.61E-25
Arhgef3,-0.37696788,1.15E-26,7.82E-25
Cd151,0.627668466,1.19E-26,8.00E-25
Rdh13,-0.303446551,1.19E-26,8.00E-25
Acvr1,0.503879238,1.23E-26,8.16E-25
Pik3r6,1.067195959,1.23E-26,8.16E-25
Serping1,1.534740995,1.23E-26,8.16E-25
Col5a3,1.11780386,1.27E-26,8.35E-25
P2ry2,1.110269405,1.27E-26,8.35E-25
Atp13a5,0.560222174,1.31E-26,8.55E-25
Fgfr1op2,-0.375372642,1.31E-26,8.55E-25
Ddr1,0.581018729,1.39E-26,8.99E-25
Jade2,-0.515005371,1.39E-26,8.99E-25
Mfap3l,0.39278584,1.39E-26,8.99E-25
Asic4,-0.615345532,1.48E-26,9.50E-25
Dlx1as,-0.832348008,1.48E-26,9.50E-25
Fam131b,-0.28196904,1.53E-26,9.73E-25
Mthfd1l,-0.562828663,1.53E-26,9.73E-25
Gfod1,-0.488564809,1.57E-26,9.92E-25
Kansl3,-0.332009991,1.57E-26,9.92E-25
Tnc,1.131834833,1.57E-26,9.92E-25
Ptpn1,-0.333261138,1.62E-26,1.02E-24
Ube2q1,-0.166888646,1.62E-26,1.02E-24
Phactr1,-0.2825633,1.67E-26,1.04E-24
Gm44763,0.771155519,1.73E-26,1.07E-24
Moxd1,-0.628764927,1.73E-26,1.07E-24
Cd1d1,1.560254931,1.78E-26,1.10E-24
Lurap1l,-0.650526485,1.78E-26,1.10E-24
Akr1b8,2.031522986,1.84E-26,1.12E-24
Bend6,-0.266537874,1.84E-26,1.12E-24
Kif18a,0.948380406,1.90E-26,1.15E-24
Bmf,0.818653184,2.02E-26,1.22E-24
Igsf10,1.039834706,2.02E-26,1.22E-24
Plod2,0.640333549,2.15E-26,1.29E-24
Fzd6,0.55447458,2.21E-26,1.32E-24
Pigg,-0.333160744,2.21E-26,1.32E-24
Col6a2,1.22432849,2.35E-26,1.40E-24
St14,1.830087375,2.35E-26,1.40E-24
Pdgfrl,0.901171277,2.50E-26,1.47E-24
Tnfrsf1a,0.882902883,2.50E-26,1.47E-24
Ubl3,-0.222593754,2.50E-26,1.47E-24
Clstn3,-0.348408051,2.58E-26,1.51E-24
S100a11,1.261834972,2.66E-26,1.55E-24
Fzd8,0.590587762,2.75E-26,1.59E-24
Nrep,0.654114418,2.75E-26,1.59E-24
Hk2,0.78454228,2.83E-26,1.64E-24
Casp3,0.422676089,2.92E-26,1.67E-24
Fbxo17,0.717305205,2.92E-26,1.67E-24
Zc3hav1,0.680694711,2.92E-26,1.67E-24
Slc22a21,0.933334922,3.01E-26,1.71E-24
Uap1,-0.2556997,3.01E-26,1.71E-24
Vstm4,1.082206237,3.31E-26,1.87E-24
Col1a2,1.748727824,3.41E-26,1.92E-24
Rap2a,-0.241835411,3.52E-26,1.98E-24
Ctxnd1,-0.663987841,3.63E-26,2.03E-24
Gm20743,0.963758745,3.86E-26,2.16E-24
Lyz2,2.491286011,3.98E-26,2.22E-24
P2rx6,0.504309019,4.10E-26,2.28E-24
Cd33,0.78500831,4.36E-26,2.41E-24
Lgals8,0.307556986,4.36E-26,2.41E-24
Pawr,0.796773832,4.78E-26,2.63E-24
Spring1,-0.325406501,4.93E-26,2.70E-24
Trim25,0.571286221,5.09E-26,2.78E-24
Rflnb,0.791316243,5.24E-26,2.85E-24
Tmem86a,0.640180369,5.24E-26,2.85E-24
Galnt15,1.362783235,5.41E-26,2.92E-24
Gm41442,0.821945524,5.41E-26,2.92E-24
Ing1,-0.320714572,5.58E-26,2.98E-24
Ppp1r3d,-0.391422206,5.58E-26,2.98E-24
Ttc12,0.834470135,5.58E-26,2.98E-24
Chrm4,-0.558004676,5.93E-26,3.16E-24
Mxra8,1.038601241,6.11E-26,3.25E-24
Egfem1,-0.608016998,6.30E-26,3.34E-24
Ctnna2,-0.25128974,6.91E-26,3.64E-24
Micall2,0.835958497,6.91E-26,3.64E-24
Aqp4,0.730178486,7.13E-26,3.72E-24
Egr2,-1.942145879,7.13E-26,3.72E-24
Entpd6,-0.276015981,7.13E-26,3.72E-24
Lamb2,0.701391216,7.35E-26,3.82E-24
Ptprc,1.165835863,7.58E-26,3.93E-24
Rph3a,-0.299606475,7.81E-26,4.04E-24
Khdc4,-0.398014037,8.06E-26,4.10E-24
Nr4a3,-1.051727748,8.06E-26,4.10E-24
Reps1,-0.264713977,8.06E-26,4.10E-24
Syngr3,-0.277114893,8.06E-26,4.10E-24
Thap12,-0.230634501,8.06E-26,4.10E-24
Dach2,0.720500636,8.31E-26,4.22E-24
Arhgap29,0.699160763,8.56E-26,4.32E-24
Pptc7,-0.281854937,8.56E-26,4.32E-24
Spidr,0.389671635,8.83E-26,4.44E-24
L2hgdh,-0.255613988,9.10E-26,4.56E-24
Rida,0.692118634,9.10E-26,4.56E-24
Slc25a24,0.642617815,9.39E-26,4.68E-24
Adgre1,1.071308587,9.68E-26,4.80E-24
Gucy1b1,-0.272173872,9.68E-26,4.80E-24
Syt16,-0.271209618,1.03E-25,5.07E-24
Tsc22d1,-0.209448168,1.03E-25,5.07E-24
Armcx1,-0.288374677,1.06E-25,5.20E-24
Heyl,0.754686209,1.06E-25,5.20E-24
Fmnl3,0.47376943,1.09E-25,5.35E-24
Arfgap3,0.325878487,1.13E-25,5.50E-24
Dll1,-0.45517871,1.16E-25,5.59E-24
Per1,-0.657290203,1.16E-25,5.59E-24
Pnkd,-0.325557719,1.16E-25,5.59E-24
Serpini1,-0.374126939,1.16E-25,5.59E-24
Unc13d,1.033338567,1.16E-25,5.59E-24
Flt3,-0.601258467,1.20E-25,5.74E-24
Aebp1,1.779828437,1.24E-25,5.84E-24
Ccdc184,-0.469706256,1.24E-25,5.84E-24
Cd84,1.746076536,1.24E-25,5.84E-24
Emilin1,1.223048671,1.24E-25,5.84E-24
Ndufb2,-0.319585054,1.24E-25,5.84E-24
Synpo2,0.821403023,1.27E-25,6.01E-24
Cyp2j6,0.387709801,1.31E-25,6.14E-24
Fkbp10,0.712597238,1.31E-25,6.14E-24
Zmiz1,0.564387977,1.31E-25,6.14E-24
Cat,0.440187018,1.40E-25,6.51E-24
Ddn,-0.478278085,1.44E-25,6.64E-24
Itga5,0.915383186,1.44E-25,6.64E-24
Rims4,-0.477968904,1.44E-25,6.64E-24
Smyd4,0.400389992,1.44E-25,6.64E-24
Fblim1,1.349232853,1.48E-25,6.81E-24
Gm30092,1.488121847,1.48E-25,6.81E-24
Cilp2,0.81439387,1.58E-25,7.21E-24
Tmeff2,0.272969923,1.62E-25,7.42E-24
Rab35,-0.180754865,1.67E-25,7.61E-24
Sox1ot,-0.500926619,1.67E-25,7.61E-24
Erbb2,0.686798078,1.73E-25,7.80E-24
St6galnac5,-0.369710254,1.73E-25,7.80E-24
Cd300c2,1.181512762,1.78E-25,8.02E-24
Akna,0.667505089,1.83E-25,8.24E-24
5330413P13Rik,0.810116893,1.95E-25,8.69E-24
Gm29695,1.204657994,1.95E-25,8.69E-24
Krt2,1.185948451,1.95E-25,8.69E-24
Rerg,-0.687266314,2.01E-25,8.91E-24
Tafa1,-0.640711404,2.01E-25,8.91E-24
Cnn3,0.669956863,2.13E-25,9.45E-24
Itga2,1.459368813,2.27E-25,9.99E-24
Serpina3f,0.969252719,2.27E-25,9.99E-24
Cavin1,0.837254502,2.34E-25,1.02E-23
Col4a1,0.56279648,2.34E-25,1.02E-23
Lactb2,0.456165348,2.34E-25,1.02E-23
Rnh1,0.431622912,2.34E-25,1.02E-23
Kcnf1,-0.589034963,2.48E-25,1.08E-23
B3galt5,-0.469976389,2.56E-25,1.11E-23
Ecel1,1.911152659,2.56E-25,1.11E-23
Insig2,-0.233260886,2.64E-25,1.13E-23
Plekha4,1.418264302,2.64E-25,1.13E-23
Uhrf2,-0.321782323,2.64E-25,1.13E-23
Dlc1,-0.461359533,2.72E-25,1.16E-23
Angpt2,1.567667655,2.80E-25,1.19E-23
Bicdl1,-0.428840324,2.80E-25,1.19E-23
Cavin3,0.493498797,2.80E-25,1.19E-23
Naprt,0.741163439,2.89E-25,1.23E-23
1700016P03Rik,-1.3577537,2.98E-25,1.25E-23
Adamts12,1.752492642,2.98E-25,1.25E-23
Cxcl16,1.343326044,2.98E-25,1.25E-23
Car4,-0.620052015,3.07E-25,1.28E-23
Fam114a1,0.651802894,3.07E-25,1.28E-23
Fhl4,0.717130538,3.07E-25,1.28E-23
Axl,0.468347525,3.16E-25,1.31E-23
BC034090,0.638053604,3.16E-25,1.31E-23
Ednra,0.487232527,3.16E-25,1.31E-23
Anks1b,-0.246174189,3.36E-25,1.38E-23
Cd9,0.715505068,3.36E-25,1.38E-23
Steap3,0.778044273,3.36E-25,1.38E-23
Sgtb,-0.259117888,3.46E-25,1.42E-23
Efcab7,0.623003803,3.57E-25,1.46E-23
Bach1,0.381334153,3.68E-25,1.50E-23
Rabgef1,-0.200700854,3.68E-25,1.50E-23
P4ha2,-0.556850334,3.79E-25,1.54E-23
Apobec1,1.195086042,3.91E-25,1.57E-23
Gm12056,1.558554481,3.91E-25,1.57E-23
Mical1,0.560582969,3.91E-25,1.57E-23
Slc44a5,-0.636129312,3.91E-25,1.57E-23
Zfp385b,-0.457441801,3.91E-25,1.57E-23
Ppa1,-0.21645847,4.03E-25,1.62E-23
Asap3,0.777113714,4.28E-25,1.71E-23
Gdpd5,0.486377681,4.28E-25,1.71E-23
Ppp1r13b,-0.329394486,4.28E-25,1.71E-23
Eepd1,-0.34069848,4.41E-25,1.74E-23
Mapk10,-0.373070197,4.41E-25,1.74E-23
Nid1,0.962002468,4.41E-25,1.74E-23
Rgs12,-0.312462049,4.41E-25,1.74E-23
Adcy7,0.742823174,4.55E-25,1.79E-23
Slc11a1,1.547327813,4.55E-25,1.79E-23
Gm13293,0.996262778,4.68E-25,1.84E-23
Cass4,1.581871957,4.83E-25,1.88E-23
Palld,0.53662649,4.83E-25,1.88E-23
Sox11,0.775328914,4.83E-25,1.88E-23
Gm9776,0.544364274,4.97E-25,1.93E-23
Homer1,-0.825016041,4.97E-25,1.93E-23
Ankrd28,0.326964321,5.44E-25,2.10E-23
Pip4p2,-0.248200072,5.44E-25,2.10E-23
Plcl2,-0.294030337,5.61E-25,2.16E-23
Wee1,-0.388434525,5.61E-25,2.16E-23
Smoc1,0.713397248,5.78E-25,2.22E-23
Cyb5r3,0.43174767,6.14E-25,2.34E-23
Erbin,0.514862392,6.14E-25,2.34E-23
Notch2,0.691875765,6.14E-25,2.34E-23
Mamdc2,0.695962349,6.33E-25,2.40E-23
Tef,-0.373900529,6.52E-25,2.47E-23
Limch1,0.30813352,6.72E-25,2.54E-23
Lgi4,0.623754882,7.35E-25,2.78E-23
Dlx6,-0.728564499,7.58E-25,2.84E-23
Elovl4,-0.321259363,7.58E-25,2.84E-23
Gadl1,1.387817991,7.58E-25,2.84E-23
Entrep2,-0.405764672,8.04E-25,3.00E-23
Piga,-0.486308321,8.04E-25,3.00E-23
Syn3,0.785273214,8.04E-25,3.00E-23
4921539H07Rik,-1.178077786,8.29E-25,3.07E-23
Prrx2,1.401673364,8.29E-25,3.07E-23
Slamf9,1.478467208,8.29E-25,3.07E-23
Acp7,0.8455444,8.80E-25,3.24E-23
Best3,1.370887274,8.80E-25,3.24E-23
Arx,-0.46103055,9.07E-25,3.33E-23
Cacna1i,-0.657159263,9.07E-25,3.33E-23
Emp3,1.38149501,9.34E-25,3.42E-23
Alox12b,-1.137871521,9.63E-25,3.51E-23
Chrm3,-0.570919189,9.63E-25,3.51E-23
Hmcn2,1.411731773,1.02E-24,3.72E-23
Atcay,-0.215263984,1.05E-24,3.81E-23
Itgb8,0.484591973,1.05E-24,3.81E-23
Sfrp4,0.863978875,1.05E-24,3.81E-23
Plau,1.067520248,1.08E-24,3.90E-23
Tlnrd1,-0.370122884,1.08E-24,3.90E-23
Tmem126b,-0.237877752,1.08E-24,3.90E-23
Mn1,-0.485358229,1.12E-24,4.01E-23
Amz2,-0.184866471,1.15E-24,4.11E-23
Loxl3,0.567923073,1.15E-24,4.11E-23
Rhbdd1,0.384299451,1.19E-24,4.23E-23
Clu,0.471159478,1.22E-24,4.34E-23
Cnnm4,-0.374719644,1.22E-24,4.34E-23
Fndc5,-0.450173363,1.26E-24,4.43E-23
Lag3,1.757088984,1.26E-24,4.43E-23
Myct1,1.113962507,1.26E-24,4.43E-23
Mylk,0.515208907,1.26E-24,4.43E-23
Ark2n,-0.351622233,1.30E-24,4.56E-23
Mboat1,0.896284172,1.34E-24,4.69E-23
Peg13,-0.276047305,1.38E-24,4.82E-23
Smim17,-0.441733374,1.42E-24,4.96E-23
Notch3,0.537031264,1.46E-24,5.09E-23
Prkar2a,-0.348635174,1.46E-24,5.09E-23
Alkal2,-1.034275059,1.51E-24,5.21E-23
Cpne8,-0.537913958,1.51E-24,5.21E-23
Elfn2,-0.438833451,1.51E-24,5.21E-23
Fos,-1.46926993,1.55E-24,5.32E-23
Jmjd6,-0.370868128,1.55E-24,5.32E-23
Nfatc4,1.026051602,1.55E-24,5.32E-23
Tmprss6,-1.666381809,1.55E-24,5.32E-23
Pgghg,0.564852461,1.60E-24,5.46E-23
Slc43a3,2.120168544,1.60E-24,5.46E-23
Mpp2,-0.34081062,1.65E-24,5.59E-23
Prps1,-0.237418401,1.65E-24,5.59E-23
Ss18,0.358836395,1.65E-24,5.59E-23
Itgax,4.446352936,1.70E-24,5.75E-23
Rundc1,-0.310869057,1.75E-24,5.91E-23
Sp9,-0.666044281,1.80E-24,6.08E-23
Armcx3,-0.290512701,1.86E-24,6.24E-23
Slc29a1,0.401748219,1.86E-24,6.24E-23
Kank2,0.635389811,1.91E-24,6.41E-23
Lonrf1,-0.441134547,1.97E-24,6.57E-23
Rsu1,0.266515075,1.97E-24,6.57E-23
Serpina3n,0.835844655,1.97E-24,6.57E-23
Dcx,0.678924295,2.03E-24,6.73E-23
Maml3,0.559230463,2.03E-24,6.73E-23
Ube2ql1,-0.300767565,2.03E-24,6.73E-23
Ndel1,-0.258456494,2.09E-24,6.92E-23
Rragb,-0.224777776,2.15E-24,7.11E-23
Clec14a,0.938929178,2.22E-24,7.30E-23
Sncaip,0.546319256,2.22E-24,7.30E-23
Gria4,-0.334436552,2.28E-24,7.50E-23
Herpud1,-0.527397169,2.35E-24,7.72E-23
Cd52,1.72543629,2.42E-24,7.92E-23
Dusp5,-0.830616503,2.42E-24,7.92E-23
Arhgef15,0.63092929,2.50E-24,8.12E-23
